Date,Recorder,pot_no,site_frame,species,allom,weight,issue,notes
10/30/19,WLV,1,fresh_1,scam,1,0.086,0,
10/30/19,WLV,1,fresh_1,scam,2,0.106,0,
10/30/19,WLV,1,fresh_1,scam,N/A,0.274,0,
10/30/19,WLV,1,fresh_1,sppa,N/A,1.098,0,
10/30/19,WLV,2,fresh_1,scam,1,0.139,0,
10/30/19,WLV,2,fresh_1,scam,2,0.200,0,
10/30/19,WLV,2,fresh_1,scam,N/A,1.830,0,
10/30/19,WLV,3,fresh_1,scam,1,0.148,0,
10/30/19,WLV,3,fresh_1,scam,2,0.210,0,
10/30/19,WLV,3,fresh_1,scam,N/A,2.419,0,
10/30/19,WLV,4,fresh_1,scam,1,0.096,0,
10/30/19,WLV,4,fresh_1,scam,2,0.221,0,
10/30/19,WLV,4,fresh_1,scam,N/A,2.702,0,
10/30/19,WLV,5,fresh_1,scam,1,0.217,0,
10/30/19,WLV,5,fresh_1,scam,2,0.230,0,
10/30/19,WLV,5,fresh_1,scam,N/A,0.378,0,
10/30/19,WLV,6,fresh_1,scam,1,0.307,0,
10/30/19,WLV,6,fresh_1,scam,2,0.571,0,
10/30/19,WLV,6,fresh_1,scam,N/A,3.820,0,
10/30/19,WLV,7,fresh_1,scam,1,0.412,0,
10/30/19,WLV,7,fresh_1,scam,2,0.417,0,
10/30/19,WLV,7,fresh_1,scam,N/A,4.363,0,
10/30/19,WLV,8,fresh_1,scam,1,0.361,0,
10/30/19,WLV,8,fresh_1,scam,2,0.430,0,
10/30/19,WLV,8,fresh_1,scam,N/A,2.941,0,
10/30/19,WLV,8,fresh_1,sppa,N/A,1.260,0,
10/30/19,WLV,9,fresh_1,scam,1,0.374,0,
10/30/19,WLV,9,fresh_1,scam,2,0.277,0,
10/30/19,WLV,9,fresh_1,scam,N/A,5.187,0,
10/30/19,WLV,9,fresh_1,sppa,N/A,0.727,0,
10/30/19,WLV,10,fresh_1,scam,1,0.492,0,
10/30/19,WLV,10,fresh_1,scam,2,0.522,0,
10/30/19,WLV,10,fresh_1,scam,N/A,4.961,0,
10/30/19,WLV,11,fresh_1,scam,1,0.334,0,
10/30/19,WLV,11,fresh_1,scam,2,0.223,0,
10/30/19,WLV,11,fresh_1,scam,N/A,2.896,0,
10/30/19,WLV,12,fresh_1,scam,1,0.390,0,Mislabeled fresh2 or fresh3 on bag
10/30/19,WLV,12,fresh_1,scam,2,0.273,0,Mislabeled fresh2 or fresh3 on bag
10/30/19,WLV,12,fresh_1,scam,N/A,5.133,0,Mislabeled fresh2 or fresh3 on bag
10/30/19,WLV,12,fresh_1,sppa,N/A,0.512,0,Mislabeled fresh2 or fresh3 on bag
10/30/19,WLV,13,fresh_1,scam,1,0.315,0,
10/30/19,WLV,13,fresh_1,scam,2,0.201,0,
10/30/19,WLV,13,fresh_1,scam,N/A,6.412,0,
10/30/19,WLV,13,fresh_1,sppa,N/A,1.207,0,
