date,pot_no,segment_top,segment_bottom,weight,species,notes
06/04/20,1,0,10,0.396,scam,
06/04/20,1,0,10,0.204,mixed fine roots,
06/04/20,1,0,10,1.033,sppa,
06/04/20,1,10,20,0.205,scam,
06/04/20,1,10,20,0.198,sppa,
06/04/20,1,10,20,0.147,mixed fine roots,
06/04/20,1,20,66.5,0.511,,
06/29/20,2,0,10,2.356,,
06/29/20,2,10,20,0.717,,
06/29/20,2,20,66,1.574,,
06/24/20,3,0,10,3.129,,
06/24/20,3,10,20,0.847,,
06/24/20,3,20,66.5,1.432,,
06/15/20,4,0,10,1.9,,
06/15/20,4,10,20,3.289,,
06/15/20,4,20,68,1.863,,
06/11/20,5,0,10,0.664,,
06/11/20,5,0,10,0.044,,scam?
06/11/20,5,10,20,0.756,,
06/11/20,5,20,60,1.013,,
07/13/20,6,0,1,3.647,,
07/13/20,6,10,20,2.674,,
07/13/20,6,20,65,1.112,,
06/23/20,7,0,10,5.807,,
06/23/20,7,10,20,1.441,,
06/23/20,7,20,66.5,0.163,scam,rhizome
06/23/20,7,20,66.5,1.117,scam,fine roots
06/10/20,8,0,10,3.861,scam,
06/10/20,8,0,10,0.909,sppa,
06/10/20,8,0,10,0.27,mixed fine roots,
06/10/20,8,10,20,2.571,,
06/10/20,8,20,68,3.49,,
06/23/20,9,0,10,5.107,scam,
06/23/20,9,0,10,0.25,sppa,
06/23/20,9,0,10,0.425,mixed fine roots,
06/23/20,9,10,20,2.581,mixed roots,
06/23/20,9,20,67,2.229,mixed roots,
06/11/20,10,0,10,5.614,,
06/11/20,10,10,20,1.147,,
06/11/20,10,20,65,1.33,,hsk washed
06/30/20,11,0,10,3.936,,
06/30/20,11,10,20,0.803,,
06/30/20,11,20,64,0.81,,
06/16/20,12,0,10,5.639,scam,
06/16/20,12,0,10,0.228,sppa,
06/16/20,12,0,10,0.261,mixed fine roots,
06/16/20,12,10,20,2.003,,
06/16/20,12,20,66,2.301,,
06/25/20,13,0,10,0.31,sppa,
06/25/20,13,0,10,6.038,scam,
06/25/20,13,0,10,0.28,mixed fine roots,
06/25/20,13,10,20,1.555,mixed roots,
06/25/20,13,20,66,1.662,mixed roots,
06/11/20,14,0,10,3.744,,
06/11/20,14,10,20,0.822,,
06/11/20,14,20,66,0.917,,
06/19/20,15,0,10,9.23,,
06/19/20,15,10,20,2.341,,
06/19/20,15,20,66,2.563,,
06/25/20,16,0,10,5.791,,
06/25/20,16,10,20,2.676,,
06/25/20,16,20,68,3.892,,
12/17/19,17,0,10,4.543,,
12/17/19,17,10,20,1.375,,
12/17/19,17,20,65,0.265,,
06/25/20,18,0,10,6.081,scam,
06/25/20,18,0,10,0.099,sppa,
06/25/20,18,0,10,0.285,mixed fine roots,
06/25/20,18,10,20,2.444,no visible sppa,
06/25/20,18,20,64,1.04,mixed fine roots,
06/25/20,18,20,64,0.239,scam,rhizome
12/23/19,19,0,10,5.046,,
12/23/19,19,10,20,1.83,,
12/23/19,19,20,65.5,0.769,,
12/11/19,20,0,10,3.83,,
12/11/19,20,10,20,1.808,,
12/11/19,20,20,63.5,0.464,,
06/19/20,21,0,10,5.055,,
06/19/20,21,10,20,0.741,,
06/19/20,21,20,end,0.951,,
06/16/20,22,0,10,3.348,scam,
06/16/20,22,0,10,0.69,sppa,
06/16/20,22,0,10,0.244,mixed fine roots,
06/16/20,22,10,20,1.055,,
06/16/20,22,20,66,0.008,scam,rhizome
06/16/20,22,20,66,0.575,mixed fine roots,
07/01/20,23,0,10,7.5,,
07/01/20,23,10,20,1.122,,
07/01/20,23,20,66,0.893,,
06/25/20,24,0,10,3.552,scam,
06/25/20,24,0,10,0.197,mixed fine roots,
