date,pot_no,segment_top,segment_bottom,weight,species,notes
11/5/2019,1895,0,10,4.109,scam,
11/5/2019,1895,0,10,0.507,SPPA,
11/7/2019,356,23,                end,0.248,,
10/31/2019,245,0,10,3.580,scam,
10/31/2019,245,0,10,2.901,SPPA,
10/31/19,245,10,20,1.556,,
11/07/19,346,0,10,2.688,SPPA,
11/07/19,346,10,20,1.068,,
11/07/19,356,10,23,0.717,,
10/31/19,245,20,68,1.581,,
11/07/19,356,0,10,6.367,,
11/07,346,0,10,1.135,scam,
11/05/19,165,0,10,5.097,,
11/07/19,346,0,10,0.037,,mixed fine roots
11/07,1700,20,67,1.099,,
11/05/19,165,10,20,1.984,,
11/07/19,1700,10,20,2.600,,
11/05/19,314,0,10,0.084,,
11/05,1895,10,20,0.493,,fine roots
11/05/19,1895,10,20,1.466,,rhizome
11/05/19,165,20,64,0.660,,
11/07/19,346,20,66,0.512,,
11/05/19,1895,20,67,0.434,,
11/05/19,1895,10,20,0.044,,stems?
11/15/19,351,10,20,0.618,,
11/15/19,339,0,10,5.426,,
11/15/19,176,10,20,1.325,,
11/15/19,339,20,,2.906,,
11/15/19,351,20,,0.036,,
11/15/19,339,10,20,3.764,,
11/15/19,176,20,62.5,0.619,,
11/14/19,341,0,10,1.265,scam,
11/14/19,341,0,10,1.934,SPPA,
11/15/19,1647,20,65.5,0.846,,
11/15/19,1647,0,10,4.383,,
11/15/19,176,0,10,4.106,,
11/14/19,221,10,20,0.054,,
11/14/19,221,20,62,0.023,,
11/14/19,1932,0,10,3.134,,
11/14/19,1932,20,                  end,0.063,,
11/14/19,341,20,66.5,0.810,,
11/14/19,341,10,20,1.227,,
11/15/19,351,0,10,0.713,,
11/15/19,1647,10,20,0.747,,
11/14/19,221,0,10,0.738,,
11/14/19,1932,10,20,0.583,,
11/20/19,404,10,20,1.714,,
11/21/19,389,0,10,3.384,scam,
11/21/19,397,0,10,6.420,scam,
11/21/19,397,0,10,0.267,SPPA,
11/21/19,392,0,10,3.604,,
11/21/19,366,20,                   end,0.067,,
11/20/19,406,20,64.5,0.022,,rhizome
11/20/19,404,0,10,0.075,SPPA,
11/21/19,397,10,20,3.129,,
11/21/19,392,10,20,1.816,,
11/21/19,389,0,10,4.319,SPPA,
11/21/19,390,0,10,2.788,,
11/21/19,389,20,65.5,1.924,,
11/20/19,404,0,10,3.103,scam,
11/21/19,389,10,20,1.995,,
11/21/19,397,20,66,2.245,,
11/21/19,392,20,67.5,3.495,,rip in bag
11/19/19,353,0,10,0.106,,mixed fine roots
11/19/19,353,20,65.5,0.356,scam,rhizome
11/19/19,1936,10,20,0.036,,
11/19/19,353,20,65.5,0.042,,fine roots
11/21/19,366,10,20,0.033,,
11/19/19,1936,0,10,0.151,,
11/20/19,406,20,64.5,0.854,,fine roots
11/20/19,406,10,20,0.825,,fine roots
11/20/19,402,0,10,10.301,,
11/21/19,390,10,20,3.203,,
11/19/19,353,10,20,1.784,,
11/21/19,390,20,64.5,0.986,,
11/21/19,366,0,10,3.390,,
11/20/19,406,0,10,8.831,,
11/20/19,402,10,20,0.760,,
11/21/19,390,10,20,3.203,,
11/19/19,353,10,20,1.784,,
11/21/19,390,20,64.5,0.986,,
11/21/19,366,0,10,3.390,,
11/20/19,406,0,10,8.831,,
11/20/19,402,10,20,0.760,,
11/18/19,352,0,10,0.945,,
11/20/19,402,20,66,0.586,,
11/18/19,1636,0,10,2.162,SPPA,
11/19/19,353,0,10,5.777,,
11/18/19,342,0,10,4.169,,
11/18/19,350,10,20,1.758,,
11/18/19,342,20,66.5,0.995,,
11/18/19,1641,10,20,2.217,,
11/20/19,404,20,67,0.311,,
11/18/19,352,10,20,1.069,,
11/18/19,1641,0,10,8.462,scam,
11/18/19,350,0,10,5.815,,
11/18/19,359,10,20,1.598,,
11/18/19,359,0,10,6.866,scam,
11/18/19,350,20,65,1.795,,
11/18/19,359,20,65.5,0.718,,
11/19/19,353,0,10,0.642,SPPA,
11/18/19,1641,20,66,1.040,,
11/18/19,1641,0,10,0.529,SPPA,
11/18/19,342,10,20,0.863,,
11/18/19,359,0,10,0.213,SPPA,"most sppa fine roots, too mixed with scam to get"
11/19/19,1936,20,64.5,0.184,,dead roots?
11/20/19,406,10,20,0.030,,rhizome
11/18/19,1636,20,65.5,0.309,sppa,
11/18/19,352,20,62,0.185,,
11/18/19,1636,10,20,0.232,SPPA,
11/18/19,1641,0,10,0.079,,mixed fine roots
12/27/19,313,20,66,0.359,,
12/27/19,1965,20,66,1.272,,
12/27/19,1965,10,20,1.507,,
12/27/19,1965,0,10,1.147,SPPA,
12/27/19,1639,20,65,0.497,,
12/27/19,1965,0,10,3.239,scam,
12/26/19,1986,10,20,0.022,,
12/27/19,1965,0,10,0.136,,mixed roots
12/26/19,1986,0,10,1.433,,
12/27/19,313,0,10,7.457,,
12/27/19,313,10,20,0.762,,
12/27/19,1639,10,20,0.670,,
12/27/19,1639,0,10,1.339,,
12/26/19,1973,20,65.5,0.430,,
12/26/19,1973,0,10,10.566,scam,
12/26/19,1973,0,10,0.115,,mixed roots
12/26,1986,20,65.5,0.035,,
12/26,1998,0,10,0.425,scam,
12/26/19,1998,0,10,0.194,SPPA,
12/26/19,170,10,20,0.167,,
12/26/19,1998,20,66,0.116,,
12/26/19,1973,10,20,1.549,,
12/26/19,1973,0,10,1.056,SPPA,
12/26/19,1998,0,10,0.046,,mixed roots
12/23/19,310,20,65.5,0.738,,
12/23/19,310,10,20,3.239,,
12/23/19,164,20,65,0.319,,
12/19/19,1967,0,10,0.097,,mixed roots
12/26/19,170,20,                   end,0.232,,
12/26/19,1998,10,20,0.017,,
12/23/19,310,0,10,11.498,,
12/23/19,1963,0,10,4.250,,
12/23/19,164,0,10,2.986,,
12/19/19,320,10,20,0.029,,
12/19/19,1967,20,66,0.207,,
12/20/19,26,20,64.5,0.471,,
12/20/19,80,20,66.5,0.376,,
12/23/19,164,10,20,0.623,,
12/23/19,19,10,20,1.830,,
12/19/19,1967,10,20,0.234,,
12/19/19,1967,0,10,0.000,scam,empty
