date,site_frame,level,pos,comp,live,dead,flower,sp_live,ht1,cut1,ht2,cut2,ht3,cut3,ht4,cut4,ht5,cut5,ht6,cut6,ht7,cut7,ht8,ht9,ht10,ht11,ht12,ht13,ht14,ht15,ht16,ht17,ht18,ht19,ht20,ht21,ht22,ht23,ht24,ht25,ht26,ht27,ht28,ht29,ht30,ht31,ht32,ht33,ht34,ht35,ht36,ht37,ht38,ht39,ht40,ht41,notes
7/1/2019,fresh_1,1,1,1,2,0,0,1,5,1,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,1,1,2,0,,1,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,1,1,1,1,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no mark, now R"
8/13/2019,fresh_1,1,1,1,2,1,,1,37,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,fresh_1,1,1,1,3,1,0,1,38,,29,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2019,fresh_1,1,1,1,4,1,0,1,38,,44.5,,38,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,2,0,1,0,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,2,0,2,0,,0,14.5,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,2,0,3,0,,0,15,,34.5,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,2,0,5,0,,0,15,,39,,52,,46.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,fresh_1,1,2,0,9,0,0,0,14.5,,39,,52.5,,33,,54.5,,10.5,,36,,56,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2019,fresh_1,1,2,0,12,0,0,0,15,,39,,52.5,,17,,38.5,,56.5,,60,,63,39,18,60.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,3,0,2,0,0,0,7.5,0,3.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,3,0,3,0,,0,32.5,,14,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,3,0,6,0,,0,32,,39,,33.5,,19,,4,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,3,0,9,0,,0,33,,41.5,,44,,27,,3,,46,,33,,35.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,fresh_1,1,3,0,12,2,0,0,33,,41,,44.5,,29,,45.5,,10,,38.5,,50.5,7.5,33.5,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2019,fresh_1,1,3,0,18,1,0,0,33,,41,,44.5,,38,,29.5,,36.5,,18,,44.5,45,13,48.5,51,5,33,45.5,33,36,6,14,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,4,0,2,0,0,0,3,0,20.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,4,0,3,0,,0,24,,42,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,4,0,6,0,,0,24,,55,,36.5,,35,,13,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,4,0,9,0,,0,24,,55,,49,,14.5,,37.5,,31,,49,,62,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,fresh_1,1,4,0,13,1,0,0,54,,49,,53,,37.5,,64,,62,,16.5,,34.5,7,54,13,38,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2019,fresh_1,1,4,0,11,2,0,0,48.5,,63.5,,55.5,,61,,54,,35,,37.5,,34,50.5,57,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,5,0,2,0,0,0,4.5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,5,0,2,0,,0,9.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,5,0,2,0,,0,32,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,5,0,3,1,,0,34,,39,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,fresh_1,1,5,0,5,1,0,0,34,,50,,55.5,,13,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2019,fresh_1,1,5,0,5,1,0,0,33.5,,42,,40.5,,58.5,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,6,0,2,0,1,0,22,0,24.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flower
7/16/2019,fresh_1,1,6,0,4,0,1,0,56,,24,,43.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,6,0,6,0,1,0,56.5,,23.5,,70,,46.5,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,6,0,7,0,3,0,56.5,,24,,71,,50,,75,,59,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B bent
9/3/2019,fresh_1,1,6,0,8,1,0,0,56.5,,70,,81,,40,,74,,84.5,,68.5,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2019,fresh_1,1,6,0,10,1,0,0,56,,71,,2.5,,54,,80.5,,84,,73,,58,80,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,fresh_1,1,7,0,2,0,0,0,24,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,fresh_1,1,7,0,3,0,,0,27,,10,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2019,fresh_1,1,7,0,6,0,,0,27,,53,,60,,18,,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2019,fresh_1,1,7,0,7,0,1,0,27,,68,,60,,9,,71,,55,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
