bluegenes_code,lab_id,lab,old_id,lat,long,core_length,depth_top,depth_bottom,date_collected,dated_year,total_seeds,seeds_live,seeds_dead,date_germtrial,total_germtrial_planted,total_germtrial_success,all_germ_trials,exp,notes
cm1,C4AS-8,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm2,C4AS-4,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm3,C4AS-7,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm4,C2AT-9,utk,NA,38.87566,-76.54361,39,0,1,5/12/2016,NA,7,6,1,4/3/17,6,3,4/3/17,unknown,
cm5,C4AS-2,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm6,C4AS-5,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm7,C4AS-13,utk,NA,38.87653,-76.54357,39,0,2,5/12/2016,NA,152,143,9,12/10/16,84,13,"12/10/16, 3/4/17, 6/7/17",Summers_2018,
cm8,127,nd,C1BR,38.87537,-76.54329,39,0,3,5/11/2016,NA,7,3,4,7/21/17,3,2,7/21/17,Vahsen_2018,
cm9,128,nd,C2BT,38.87566,-76.54361,40,0,3.5,5/11/2016,NA,23,22,1,9/27/17,21,6,"7/21/17, 9/27/17",Vahsen_2018,
cm10,139,nd,C3AS,38.87591,-76.54324,38,0,2.25,5/12/2016,NA,80,60,20,9/27/17,58,30,"7/21/17, 9/27/17",Vahsen_2018,
ca1,C4BH-6,utk,NA,38.87653,-76.54357,37,20.75,22.75,5/12/2016,NA,139,103,36,3/22/17,64,8,3/22/17,Summers_2018,
ca2,C4BI-7,utk,NA,38.87653,-76.54357,37,18.75,20.75,5/12/2016,NA,97,81,16,3/23/17,60,12,3/23/17,Summers_2018,
ca3,C4BI-6,utk,NA,38.87653,-76.54357,37,18.75,20.75,5/12/2016,NA,97,81,16,3/23/17,60,12,3/23/17,Summers_2018,
ca4,C4BH-11,utk,NA,38.87653,-76.54357,37,20.75,22.75,5/12/2016,NA,139,103,36,3/22/17,64,8,3/22/17,Summers_2018,
ca5,C4BI-5,utk,NA,38.87653,-76.54357,37,18.75,20.75,5/12/2016,NA,97,81,16,3/23/17,60,12,3/23/17,Summers_2018,
