unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1910707072.00,2165/25/45 45:85:85,255,0.00,314.98,0.00,0.00,204.99,0.00,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1910707072.00,2165/25/45 45:85:85,255,432.00,327.09,72.00,72.00,262.48,161.00,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1910707072.00,2165/25/45 45:85:85,255,0.00,352.85,86.40,86.40,291.32,172.80,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1910707072.00,2165/25/45 45:85:85,255,433.00,370.71,99.77,99.77,307.34,182.15,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
978221504.00,2001/1/0 0:11:13,70,500.00,405.05,444.83,472.15,338.94,NA,23.84,1011.41,59.27,20.19,15.16
1560154368.00,2019/6/10 8:12:21,10,447.00,412.45,447.58,446.07,346.21,NA,23.64,1015.49,59.31,29.03,-18.46
1876619264.00,2165/7/25 33:36:5,33,452.00,408.97,452.50,449.29,344.57,NA,23.93,1015.26,58.41,44.54,-16.89
1406809984.00,2013/15/27 36:33:31,33,448.00,409.25,448.83,449.10,344.37,NA,23.96,1015.00,58.94,44.88,-14.56
1406810368.00,2013/15/27 36:38:31,33,449.00,500.00,449.00,447.65,465.28,NA,24.09,1015.02,57.48,55.09,-14.89
1406810624.00,2013/15/27 36:43:31,33,447.00,500.00,447.00,440.78,499.98,NA,24.11,1015.08,56.76,60.94,-15.22
1406810880.00,2013/15/27 36:48:31,33,444.00,500.00,443.25,444.15,500.00,NA,24.05,1015.10,56.62,64.51,-15.56
1406811264.00,2013/15/27 36:53:31,33,445.00,500.00,443.92,444.43,500.00,NA,24.05,1015.06,56.58,66.09,-15.06
1353846784.00,2012/11/24 36:32:12,255,463.00,422.76,462.58,440.56,359.64,NA,24.35,1015.05,59.23,132.15,-14.98
1353847040.00,2012/11/24 36:37:12,255,458.00,500.00,458.67,461.40,473.38,NA,24.46,1014.97,57.66,152.99,-14.47
1406550400.00,2013/15/24 36:27:41,255,454.00,414.63,415.25,442.51,344.49,NA,24.54,1014.85,59.16,123.90,-13.15
1406550784.00,2013/15/24 36:32:42,255,459.00,500.00,460.50,458.00,466.21,NA,24.67,1014.81,56.57,114.95,-12.82
1406551040.00,2013/15/24 36:37:42,255,459.00,500.00,459.00,451.07,499.98,NA,24.69,1014.77,55.75,109.79,-12.48
1562658176.00,2019/7/9 7:42:45,255,517.00,379.23,537.00,520.86,329.51,NA,25.06,1018.45,56.97,17.46,-43.20
1562660480.00,2019/7/9 8:20:48,255,753.00,288.29,747.17,735.76,283.24,NA,31.78,1020.22,56.01,38.74,-57.87
1562660736.00,2019/7/9 8:25:49,255,686.00,308.12,685.08,708.93,294.45,NA,31.79,1020.21,55.28,73.61,-57.87
1562660992.00,2019/7/9 8:30:49,255,722.00,308.72,730.50,743.12,307.20,NA,32.41,1020.15,54.11,93.83,-57.13
1562661376.00,2019/7/9 8:35:49,255,741.00,309.73,762.17,742.23,309.78,NA,33.15,1020.05,52.74,104.04,-56.63
1562661632.00,2019/7/9 8:40:49,255,724.00,332.05,724.92,699.20,324.04,NA,33.75,1020.07,52.67,107.76,-56.79
1562661888.00,2019/7/9 8:45:49,255,702.00,341.23,716.75,729.25,335.28,NA,34.10,1020.03,52.09,96.21,-56.30
1562662272.00,2019/7/9 8:50:49,255,674.00,358.09,690.17,711.07,347.48,NA,34.35,1020.01,51.02,104.88,-55.80
1562662528.00,2019/7/9 8:55:50,255,719.00,373.95,714.42,706.47,368.14,NA,34.30,1019.95,49.51,146.74,-55.96
1562662912.00,2019/7/9 9:0:50,255,721.00,380.93,724.00,731.35,376.60,NA,34.44,1020.01,48.81,180.10,-56.30
