"Plot Title: FW_cond_6.24.2019"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20625411, SEN S/N: 20625411)","Full Range, μS/cm (LGR S/N: 20625411, SEN S/N: 20625411)","Temp, °C (LGR S/N: 20625411, SEN S/N: 20625411)","Specific Conductance, μS/cm (LGR S/N: 20625411)"
1,06/24/19 09:30:00 AM,913.9,1006.1,29.45,
2,06/24/19 09:45:00 AM,0.8,2.0,29.28,
3,06/24/19 10:00:00 AM,0.7,3.2,28.01,
4,06/24/19 10:15:00 AM,0.6,2.1,27.18,
5,06/24/19 10:30:00 AM,1.6,5.0,28.84,
6,06/24/19 10:45:00 AM,1.0,7.3,28.18,
7,06/24/19 11:00:00 AM,1.6,25.5,29.12,
8,06/24/19 11:15:00 AM,1.6,25.5,28.53,
9,06/24/19 11:30:00 AM,1.6,25.5,28.84,
10,06/24/19 11:45:00 AM,4.1,5.0,28.94,
11,06/24/19 12:00:00 PM,1.6,1.3,29.59,
12,06/24/19 12:15:00 PM,4.1,1.3,28.45,
13,06/24/19 12:30:00 PM,12.1,1.3,27.13,
14,06/24/19 12:45:00 PM,12.1,7.3,26.19,
15,06/24/19 01:00:00 PM,12.2,7.3,25.55,
16,06/24/19 01:15:00 PM,1.6,5.0,25.11,
17,06/24/19 01:30:00 PM,0.7,2.1,26.97,
18,06/24/19 01:45:00 PM,0.9,2.0,27.30,
19,06/24/19 02:00:00 PM,1.3,1.3,31.19,
20,06/24/19 02:15:00 PM,322.9,323.5,26.99,348.1
21,06/24/19 02:30:00 PM,288.3,288.5,26.62,312.8
22,06/24/19 02:45:00 PM,259.5,259.7,26.48,282.4
23,06/24/19 03:00:00 PM,349.6,350.5,28.40,366.5
24,06/24/19 03:15:00 PM,324.8,325.7,28.24,341.7
25,06/24/19 03:30:00 PM,248.1,247.9,28.01,261.3
26,06/24/19 03:45:00 PM,2.0,1.7,28.22,1.8
27,06/24/19 04:00:00 PM,1.4,1.3,28.32,1.4
28,06/24/19 04:15:00 PM,1.4,5.0,28.01,5.3
29,06/24/19 04:30:00 PM,0.9,1.3,27.63,1.4
30,06/24/19 04:45:00 PM,1.4,1.3,26.79,1.4
31,06/24/19 05:00:00 PM,1.4,5.0,26.35,5.5
32,06/24/19 05:15:00 PM,1.6,1.3,26.87,1.4
33,06/24/19 05:30:00 PM,1.4,1.3,26.88,1.4
34,06/24/19 05:45:00 PM,1.6,5.0,26.88,5.4
35,06/24/19 06:00:00 PM,0.8,5.0,26.72,5.4
36,06/24/19 06:15:00 PM,1.4,1.3,26.64,1.4
37,06/24/19 06:30:00 PM,272.7,273.3,26.80,295.3
38,06/24/19 06:45:00 PM,341.3,342.6,27.04,368.4
39,06/24/19 07:00:00 PM,356.2,357.9,27.08,384.5
40,06/24/19 07:15:00 PM,387.2,389.3,27.04,418.6
41,06/24/19 07:30:00 PM,405.7,408.5,27.02,439.5
42,06/24/19 07:45:00 PM,464.3,467.2,27.10,501.8
43,06/24/19 08:00:00 PM,531.1,534.8,27.12,574.2
44,06/24/19 08:15:00 PM,537.0,540.6,27.10,580.7
45,06/24/19 08:30:00 PM,536.3,540.3,27.01,581.4
46,06/24/19 08:45:00 PM,528.1,531.8,26.87,573.9
47,06/24/19 09:00:00 PM,613.7,617.8,27.08,663.9
48,06/24/19 09:15:00 PM,762.3,767.5,27.29,821.3
49,06/24/19 09:30:00 PM,1284.1,1297.3,27.76,1375.0
50,06/24/19 09:45:00 PM,1359.0,1372.6,27.70,1456.7
51,06/24/19 10:00:00 PM,1326.3,1339.8,27.58,1425.3
52,06/24/19 10:15:00 PM,1183.8,1195.5,27.20,1281.7
53,06/24/19 10:30:00 PM,1059.7,1068.8,27.01,1150.4
54,06/24/19 10:45:00 PM,1278.9,1291.4,27.42,1378.4
55,06/24/19 11:00:00 PM,1475.8,1489.5,27.55,1585.7
56,06/24/19 11:15:00 PM,1435.0,1448.8,27.49,1544.3
57,06/24/19 11:30:00 PM,1416.2,1430.1,27.55,1522.5
58,06/24/19 11:45:00 PM,1590.7,1603.8,27.57,1706.8
59,06/25/19 12:00:00 AM,1573.3,1586.8,27.30,1698.1
60,06/25/19 12:15:00 AM,1073.9,1082.8,26.59,1175.7
61,06/25/19 12:30:00 AM,1128.7,1139.4,26.31,1244.3
62,06/25/19 12:45:00 AM,976.1,983.7,26.33,1073.9
63,06/25/19 01:00:00 AM,1057.5,1066.9,26.26,1166.4
64,06/25/19 01:15:00 AM,943.0,950.2,25.75,1049.9
65,06/25/19 01:30:00 AM,832.4,838.3,25.48,931.5
66,06/25/19 01:45:00 AM,739.6,744.4,25.38,828.9
67,06/25/19 02:00:00 AM,733.1,737.8,25.26,823.7
68,06/25/19 02:15:00 AM,602.9,607.4,25.18,679.3
69,06/25/19 02:30:00 AM,562.4,566.2,25.02,635.3
70,06/25/19 02:45:00 AM,477.2,479.9,24.96,539.2
71,06/25/19 03:00:00 AM,424.2,426.3,24.92,479.4
72,06/25/19 03:15:00 AM,406.6,408.8,24.39,464.9
73,06/25/19 03:30:00 AM,393.7,395.8,24.20,452.0
74,06/25/19 03:45:00 AM,295.1,295.8,24.18,337.9
75,06/25/19 04:00:00 AM,314.5,315.7,24.15,360.9
76,06/25/19 04:15:00 AM,293.0,293.8,24.30,334.8
77,06/25/19 04:30:00 AM,275.8,276.6,24.55,313.5
78,06/25/19 04:45:00 AM,287.9,288.5,24.34,328.5
79,06/25/19 05:00:00 AM,303.6,304.6,23.97,349.6
80,06/25/19 05:15:00 AM,296.6,297.4,24.03,340.9
81,06/25/19 05:30:00 AM,272.3,272.6,23.94,313.1
82,06/25/19 05:45:00 AM,275.0,275.3,23.86,316.7
83,06/25/19 06:00:00 AM,273.8,274.5,23.78,316.3
84,06/25/19 06:15:00 AM,271.4,271.8,23.95,312.1
85,06/25/19 06:30:00 AM,270.0,270.3,23.92,310.6
86,06/25/19 06:45:00 AM,269.2,269.6,23.73,311.1
87,06/25/19 07:00:00 AM,275.3,275.6,23.95,316.5
88,06/25/19 07:15:00 AM,279.2,279.4,24.05,320.2
89,06/25/19 07:30:00 AM,332.8,333.6,24.28,380.4
90,06/25/19 07:45:00 AM,359.4,360.4,24.42,409.8
91,06/25/19 08:00:00 AM,381.6,383.0,24.52,434.6
92,06/25/19 08:15:00 AM,358.4,359.2,24.47,408.0
93,06/25/19 08:30:00 AM,364.9,366.1,24.47,415.8
94,06/25/19 08:45:00 AM,373.6,374.9,24.67,424.0
95,06/25/19 09:00:00 AM,387.7,388.7,24.72,439.2
96,06/25/19 09:15:00 AM,399.8,401.3,24.81,452.6
97,06/25/19 09:30:00 AM,434.6,436.3,25.01,490.0
98,06/25/19 09:45:00 AM,485.8,487.5,25.18,545.6
99,06/25/19 10:00:00 AM,662.5,665.3,25.44,740.5
100,06/25/19 10:15:00 AM,560.6,563.4,25.27,629.3
101,06/25/19 10:30:00 AM,549.3,551.7,25.33,615.5
102,06/25/19 10:45:00 AM,511.3,513.1,25.75,567.4
103,06/25/19 11:00:00 AM,485.1,486.7,25.97,535.8
104,06/25/19 11:15:00 AM,482.6,484.6,25.63,537.3
105,06/25/19 11:30:00 AM,640.3,642.2,25.48,714.3
106,06/25/19 11:45:00 AM,972.2,977.6,25.75,1081.3
107,06/25/19 12:00:00 PM,1254.0,1264.3,25.75,1398.4
108,06/25/19 12:15:00 PM,404.6,405.6,24.75,458.1
109,06/25/19 12:30:00 PM,315.3,315.8,24.94,355.3
110,06/25/19 12:45:00 PM,394.6,395.6,25.73,437.8
111,06/25/19 01:00:00 PM,316.2,317.0,25.96,349.1
112,06/25/19 01:15:00 PM,341.5,341.7,26.16,374.8
113,06/25/19 01:30:00 PM,346.3,346.8,26.02,381.5
114,06/25/19 01:45:00 PM,254.7,254.3,25.22,284.5
115,06/25/19 02:00:00 PM,259.0,258.9,26.35,282.9
116,06/25/19 02:15:00 PM,250.1,249.7,26.93,269.6
117,06/25/19 02:30:00 PM,317.9,318.5,28.25,334.8
118,06/25/19 02:45:00 PM,320.8,321.5,28.45,336.6
119,06/25/19 03:00:00 PM,302.8,302.4,28.42,316.8
120,06/25/19 03:15:00 PM,3.4,2.8,28.12,3.0
121,06/25/19 03:30:00 PM,2.8,2.4,28.63,2.5
122,06/25/19 03:45:00 PM,2.6,2.0,28.51,2.1
123,06/25/19 04:00:00 PM,2.4,1.7,28.75,1.8
124,06/25/19 04:15:00 PM,2.2,1.7,29.36,1.7
125,06/25/19 04:30:00 PM,2.4,1.7,29.33,1.7
126,06/25/19 04:45:00 PM,1.0,25.5,28.84,26.5
127,06/25/19 05:00:00 PM,0.9,5.0,28.98,5.2
128,06/25/19 05:15:00 PM,1.6,5.0,29.33,5.1
129,06/25/19 05:30:00 PM,0.9,5.0,29.73,5.1
130,06/25/19 05:45:00 PM,1.6,5.0,30.58,5.0
131,06/25/19 06:00:00 PM,1.4,5.0,30.97,5.0
132,06/25/19 06:15:00 PM,1.6,5.0,31.22,5.0
133,06/25/19 06:30:00 PM,1.4,5.0,31.82,4.9
134,06/25/19 06:45:00 PM,0.9,5.0,31.40,4.9
135,06/25/19 07:00:00 PM,1.6,1.3,29.66,1.3
136,06/25/19 07:15:00 PM,1.6,1.3,28.29,1.4
137,06/25/19 07:30:00 PM,0.9,1.3,27.24,1.4
138,06/25/19 07:45:00 PM,1.6,5.0,26.42,5.5
139,06/25/19 08:00:00 PM,1.4,1.3,25.88,1.4
