"Plot Title: GCREW_cond_08.16.2019"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20625481, SEN S/N: 20625481)","High Range, μS/cm (LGR S/N: 20625481, SEN S/N: 20625481)","Temp, °C (LGR S/N: 20625481, SEN S/N: 20625481)","Specific Conductance, μS/cm (LGR S/N: 20625481)"
1,08/16/19 02:30:00 PM,11277.0,13555.7,30.81,
2,08/16/19 02:45:00 PM,11284.3,13578.4,30.98,
3,08/16/19 03:00:00 PM,11332.8,13614.6,31.18,
4,08/16/19 03:15:00 PM,11388.7,13655.9,31.36,14098.2
5,08/16/19 03:30:00 PM,11441.6,13679.8,31.45,14098.6
6,08/16/19 03:45:00 PM,11454.1,13677.7,31.39,14112.8
7,08/16/19 04:00:00 PM,11454.1,13674.6,31.35,14120.6
8,08/16/19 04:15:00 PM,11457.2,13673.6,31.31,14130.6
9,08/16/19 04:30:00 PM,11463.5,13668.4,31.30,14128.1
10,08/16/19 04:45:00 PM,11468.7,13675.6,31.31,14132.9
11,08/16/19 05:00:00 PM,11478.1,13683.9,31.34,14133.5
12,08/16/19 05:15:00 PM,11476.0,13667.3,31.29,14130.1
13,08/16/19 05:30:00 PM,11430.2,13615.6,31.08,14133.9
14,08/16/19 05:45:00 PM,11392.8,13578.4,30.93,14136.3
15,08/16/19 06:00:00 PM,11392.8,13572.2,30.91,14135.4
16,08/16/19 06:15:00 PM,11395.9,13577.4,30.89,14146.5
17,08/16/19 06:30:00 PM,11420.8,13583.6,30.89,14153.1
18,08/16/19 06:45:00 PM,11424.0,13581.5,30.83,14167.5
19,08/16/19 07:00:00 PM,11431.2,13564.0,30.75,14171.3
20,08/16/19 07:15:00 PM,11412.5,13538.2,30.61,14183.0
21,08/16/19 07:30:00 PM,11388.7,13499.1,30.41,14197.3
22,08/16/19 07:45:00 PM,11350.4,13454.9,30.10,14236.8
23,08/16/19 08:00:00 PM,11301.8,13391.4,29.75,14267.3
24,08/16/19 08:15:00 PM,11233.8,13322.0,29.43,14283.2
25,08/16/19 08:30:00 PM,11189.7,13282.3,29.19,14308.6
26,08/16/19 08:45:00 PM,11155.9,13239.6,28.98,14322.3
27,08/16/19 09:00:00 PM,11120.1,13200.0,28.82,14325.1
28,08/16/19 09:15:00 PM,11094.6,13165.6,28.64,14339.3
29,08/16/19 09:30:00 PM,11055.9,13134.3,28.48,14351.1
30,08/16/19 09:45:00 PM,11007.2,13079.8,28.33,14334.7
31,08/16/19 10:00:00 PM,10977.8,13046.6,28.18,14341.6
32,08/16/19 10:15:00 PM,10940.4,13019.5,28.03,14355.2
33,08/16/19 10:30:00 PM,10914.1,12990.4,27.85,14375.4
34,08/16/19 10:45:00 PM,10884.9,12964.3,27.70,14390.2
35,08/16/19 11:00:00 PM,10847.7,12922.3,27.57,14381.6
36,08/16/19 11:15:00 PM,10822.6,12893.3,27.45,14384.4
37,08/16/19 11:30:00 PM,10361.4,12265.9,27.34,13715.2
38,08/16/19 11:45:00 PM,10519.3,12485.5,27.26,13983.7
39,08/17/19 12:00:00 AM,10622.1,12660.2,27.16,14208.4
40,08/17/19 12:15:00 AM,10691.6,12747.2,27.09,14326.6
41,08/17/19 12:30:00 AM,10709.6,12783.9,27.02,14388.6
42,08/17/19 12:45:00 AM,10684.7,12752.1,27.00,14358.8
43,08/17/19 01:00:00 AM,10697.6,12766.0,26.97,14383.4
44,08/17/19 01:15:00 AM,10697.6,12764.0,26.95,14387.2
45,08/17/19 01:30:00 AM,10689.7,12759.1,26.95,14381.8
46,08/17/19 01:45:00 AM,10704.6,12769.0,27.04,14366.7
47,08/17/19 02:00:00 AM,10741.5,12814.7,27.23,14362.4
48,08/17/19 02:15:00 AM,10800.5,12872.4,27.49,14351.2
49,08/17/19 02:30:00 AM,10842.7,12918.3,27.70,14341.3
50,08/17/19 02:45:00 AM,10888.9,12974.3,27.95,14331.1
51,08/17/19 03:00:00 AM,10948.5,13025.5,28.19,14318.4
52,08/17/19 03:15:00 AM,11009.2,13093.9,28.44,14321.7
53,08/17/19 03:30:00 AM,11052.9,13133.3,28.64,14307.7
54,08/17/19 03:45:00 AM,11094.6,13172.7,28.85,14290.8
55,08/17/19 04:00:00 AM,11138.5,13214.2,29.06,14276.2
56,08/17/19 04:15:00 AM,11155.9,13243.6,29.19,14271.3
57,08/17/19 04:30:00 AM,11177.4,13258.9,29.30,14256.9
58,08/17/19 04:45:00 AM,11191.7,13277.2,29.38,14254.1
59,08/17/19 05:00:00 AM,11194.8,13279.2,29.41,14248.0
60,08/17/19 05:15:00 AM,11191.7,13273.1,29.43,14235.9
61,08/17/19 05:30:00 AM,11191.7,13275.2,29.41,14244.0
62,08/17/19 05:45:00 AM,11194.8,13273.1,29.39,14247.5
63,08/17/19 06:00:00 AM,11194.8,13272.1,29.37,14252.2
64,08/17/19 06:15:00 AM,11191.7,13265.0,29.35,14250.3
65,08/17/19 06:30:00 AM,11189.7,13261.9,29.35,14247.1
66,08/17/19 06:45:00 AM,11194.8,13266.0,29.32,14260.1
67,08/17/19 07:00:00 AM,11146.7,13225.4,29.14,14267.4
68,08/17/19 07:15:00 AM,11138.5,13202.1,29.03,14273.5
69,08/17/19 07:30:00 AM,11120.1,13173.7,28.91,14276.9
70,08/17/19 07:45:00 AM,11083.4,13123.2,28.69,14284.8
71,08/17/19 08:00:00 AM,11034.6,13067.7,28.44,14295.8
72,08/17/19 08:15:00 AM,11000.1,13028.5,28.23,14313.2
73,08/17/19 08:30:00 AM,10965.6,12984.3,28.02,14325.2
74,08/17/19 08:45:00 AM,10945.4,12956.3,27.86,14340.6
75,08/17/19 09:00:00 AM,10919.2,12929.3,27.73,14348.5
76,08/17/19 09:15:00 AM,10899.0,12907.3,27.61,14359.1
77,08/17/19 09:30:00 AM,10879.9,12890.3,27.53,14363.6
78,08/17/19 09:45:00 AM,10884.9,12888.3,27.49,14373.2
79,08/17/19 10:00:00 AM,10902.0,12895.3,27.52,14372.4
80,08/17/19 10:15:00 AM,10922.2,12923.3,27.63,14371.7
81,08/17/19 10:30:00 AM,10973.7,12974.3,27.84,14367.4
82,08/17/19 10:45:00 AM,11024.4,13032.5,28.08,14362.3
83,08/17/19 11:00:00 AM,11059.0,13062.7,28.23,14352.4
84,08/17/19 11:15:00 AM,11102.8,13109.0,28.43,14345.7
85,08/17/19 11:30:00 AM,11164.1,13175.7,28.71,14338.4
86,08/17/19 11:45:00 AM,11225.6,13234.5,28.98,14325.3
87,08/17/19 12:00:00 PM,11283.2,13293.5,29.24,14315.3
88,08/17/19 12:15:00 PM,11346.2,13358.7,29.51,14309.2
89,08/17/19 12:30:00 PM,11394.9,13413.9,29.80,14286.7
90,08/17/19 12:45:00 PM,11458.3,13475.5,30.07,14276.6
91,08/17/19 01:00:00 PM,11507.3,13525.8,30.30,14265.8
92,08/17/19 01:15:00 PM,11544.9,13565.0,30.47,14260.0
93,08/17/19 01:30:00 PM,11603.6,13622.8,30.70,14257.1
94,08/17/19 01:45:00 PM,11641.4,13669.4,30.91,14247.9
95,08/17/19 02:00:00 PM,11694.1,13715.1,31.10,14243.3
96,08/17/19 02:15:00 PM,11725.8,13751.5,31.26,14237.3
97,08/17/19 02:30:00 PM,11738.5,13768.1,31.34,14232.7
98,08/17/19 02:45:00 PM,11781.9,13802.5,31.46,14235.5
99,08/17/19 03:00:00 PM,11858.4,13891.3,31.83,14226.1
100,08/17/19 03:15:00 PM,11906.4,13953.2,32.08,14221.6
101,08/17/19 03:30:00 PM,11926.7,13985.8,32.19,14225.2
102,08/17/19 03:45:00 PM,11919.2,13973.2,32.14,14226.0
103,08/17/19 04:00:00 PM,11890.4,13946.9,32.03,14229.2
104,08/17/19 04:15:00 PM,11842.5,13907.1,31.84,14240.2
105,08/17/19 04:30:00 PM,11804.2,13867.3,31.68,14243.2
106,08/17/19 04:45:00 PM,11820.1,13870.4,31.69,14243.8
107,08/17/19 05:00:00 PM,11813.7,13863.1,31.67,14241.9
108,08/17/19 05:15:00 PM,11810.6,13866.2,31.66,14247.9
109,08/17/19 05:30:00 PM,11810.6,13869.4,31.68,14245.9
110,08/17/19 05:45:00 PM,11810.6,13873.5,31.71,14242.1
111,08/17/19 06:00:00 PM,11791.5,13871.4,31.71,14240.0
