pot_no,site_ frame,level,pos,gt,0,density_notfixed,density_fixed,adjust,flux,soil,porom,poreH20,rna
1,fresh_1,1,1,cm4,1,4,4,0,1,0,0,0,0
2,fresh_1,1,2,ka5,0,12,12,0,1,0,0,0,0
3,fresh_1,1,3,b3,0,18,18,0,0,0,0,0,0
4,fresh_1,1,4,cm3,0,11,11,0,0,0,0,0,0
5,fresh_1,1,5,ca1,0,5,5,0,0,0,0,0,0
6,fresh_1,1,6,cm1,0,10,10,0,0,0,0,0,0
7,fresh_1,1,7,km5,0,16,16,0,0,0,0,0,0
8,fresh_1,1,8,ca7,1,12,12,0,0,0,0,0,0
9,fresh_1,2,1,cm6,1,20,20,0,1,0,0,0,0
10,fresh_1,2,2,cm10,0,15,15,0,1,0,1,1,0
11,fresh_1,2,3,cm2,0,9,9,0,1,0,0,0,0
12,fresh_1,2,4,ca4,1,21,21,0,1,0,0,0,0
13,fresh_1,2,5,ca8,1,19,19,0,0,0,0,0,0
14,fresh_1,2,6,km6,0,13,13,0,0,0,1,1,0
15,fresh_1,2,7,ka4,0,28,28,0,0,0,0,0,0
16,fresh_1,2,8,ca7,0,20,20,0,0,0,0,0,0
17,fresh_1,3,1,cm7,0,13,13,0,1,0,0,0,1
18,fresh_1,3,2,ca8,1,21,21,0,0,0,1,1,0
19,fresh_1,3,3,ca6,0,12,12,0,0,0,0,0,1
20,fresh_1,3,4,cm5,0,16,16,0,0,0,0,0,1
21,fresh_1,3,5,ka6,0,11,11,0,0,0,0,0,0
22,fresh_1,3,6,cm1,1,9,9,0,0,0,1,1,0
23,fresh_1,3,7,km2,0,17,17,0,0,0,0,0,0
24,fresh_1,3,8,ca5,1,10,10,0,0,0,0,0,0
25,fresh_1,4,1,ca10,1,10,10,0,0,0,0,0,0
26,fresh_1,4,2,ca4,0,14,14,0,0,0,0,0,1
27,fresh_1,4,3,km1,0,24,24,0,0,0,0,0,0
28,fresh_1,4,4,cm8,1,0,0,0,0,0,0,0,0
29,fresh_1,4,5,ca3,1,0,0,0,0,0,0,0,0
30,fresh_1,4,6,cm4,0,15,15,0,0,0,0,0,1
31,fresh_1,4,7,cm3,0,16,16,0,0,0,0,0,1
32,fresh_1,4,8,b2,0,0,0,0,0,0,0,0,0
33,fresh_1,5,1,ca2,1,0,0,0,0,0,0,0,0
34,fresh_1,5,2,cm7,1,0,0,0,0,0,0,0,0
35,fresh_1,5,3,ca9,0,0,0,0,0,0,0,0,0
36,fresh_1,5,4,ka2,0,1,1,0,0,0,0,0,0
37,fresh_1,5,5,cm9,1,7,7,0,0,0,0,1,0
38,fresh_1,5,6,km5,0,0,0,0,0,0,0,0,0
39,fresh_1,5,7,ca10,0,0,0,0,0,0,0,0,0
40,fresh_1,5,8,cm6,0,8,8,0,0,0,0,1,0
41,fresh_1,6,1,b4,0,0,0,0,0,0,0,0,0
42,fresh_1,6,2,km3,0,0,0,0,0,0,0,0,0
43,fresh_1,6,3,ka1,0,0,0,0,0,0,0,0,0
44,fresh_1,6,4,cm10,1,0,0,0,0,0,0,0,0
45,fresh_1,6,5,ca1,0,0,0,0,0,0,0,0,0
46,fresh_1,6,6,ca10,1,0,0,0,0,0,0,0,0
47,fresh_1,6,7,cm2,0,0,0,0,0,0,0,0,0
48,fresh_1,6,8,ca2,1,0,0,0,0,0,0,0,0
49,fresh_2,1,1,cm1,1,5,5,0,0,0,0,0,0
50,fresh_2,1,2,ca6,1,7,7,0,0,0,0,0,0
51,fresh_2,1,3,km2,0,12,12,0,1,1,0,0,0
52,fresh_2,1,4,ca3,0,12,12,0,1,1,1,1,0
53,fresh_2,1,5,ka6,0,15,15,0,1,1,1,1,0
54,fresh_2,1,6,ca7,0,18,18,0,1,1,0,0,0
55,fresh_2,1,7,cm7,1,5,5,0,0,0,0,0,0
56,fresh_2,1,8,cm6,0,13,13,0,1,1,0,0,0
57,fresh_2,2,1,cm7,0,11,11,0,1,1,0,0,0
58,fresh_2,2,2,cm8,1,7,7,0,0,0,0,0,0
59,fresh_2,2,3,ka4,0,28,28,0,1,1,1,1,0
60,fresh_2,2,4,ca1,1,9,9,0,0,0,0,0,0
61,fresh_2,2,5,ca6,1,10,10,0,0,0,0,0,0
62,fresh_2,2,6,ca5,0,16,16,0,1,1,0,0,0
63,fresh_2,2,7,cm10,0,19,19,0,1,1,0,0,0
64,fresh_2,2,8,km3,0,21,21,0,1,1,1,1,0
65,fresh_2,3,1,b2,0,16,16,0,1,0,0,0,0
66,fresh_2,3,2,km5,0,20,20,0,1,0,0,0,0
67,fresh_2,3,3,ca8,0,16,16,0,1,0,0,0,1
68,fresh_2,3,4,ka6,0,16,16,0,1,0,0,0,0
69,fresh_2,3,5,ca4,1,15,15,0,0,0,0,0,0
70,fresh_2,3,6,ca2,0,15,15,0,1,0,0,0,1
71,fresh_2,3,7,cm2,1,15,15,0,0,0,0,0,0
72,fresh_2,3,8,cm4,0,21,21,0,1,0,0,0,1
73,fresh_2,4,1,ca7,0,17,17,0,1,1,0,0,1
74,fresh_2,4,2,ka3,0,13,13,0,1,1,0,0,0
75,fresh_2,4,3,cm10,0,16,16,0,1,1,0,0,1
76,fresh_2,4,4,ca5,1,18,18,0,0,0,0,0,0
77,fresh_2,4,5,km4,0,21,21,0,1,1,0,0,0
78,fresh_2,4,6,ca4,1,17,17,0,0,0,0,0,0
79,fresh_2,4,7,cm4,1,13,13,0,0,0,0,0,0
80,fresh_2,4,8,cm2,0,12,12,0,1,1,0,0,1
81,fresh_2,5,1,km4,0,0,0,0,0,0,0,0,0
82,fresh_2,5,2,ca9,1,0,0,0,0,0,0,0,0
83,fresh_2,5,3,ca4,0,0,0,0,0,0,0,0,0
84,fresh_2,5,4,ca10,0,0,0,0,0,0,0,0,0
85,fresh_2,5,5,cm10,0,0,0,0,0,0,0,0,0
86,fresh_2,5,6,cm3,1,0,0,0,0,0,0,0,0
87,fresh_2,5,7,b1,0,8,8,0,0,0,0,1,0
88,fresh_2,5,8,cm6,1,17,17,0,0,0,0,1,0
89,fresh_2,6,1,ca8,1,0,0,0,0,0,0,0,0
90,fresh_2,6,2,b2,0,0,0,0,0,0,0,0,0
91,fresh_2,6,3,cm10,1,0,0,0,0,0,0,0,0
92,fresh_2,6,4,ca3,0,0,0,0,0,0,0,0,0
93,fresh_2,6,5,cm9,0,0,0,0,0,0,0,0,0
94,fresh_2,6,6,ka2,0,0,0,0,0,0,0,0,0
95,fresh_2,6,7,ca1,1,0,0,0,0,0,0,0,0
96,fresh_2,6,8,cm4,0,0,0,0,0,0,0,0,0
97,fresh_3,1,1,km4,0,7,7,0,1,1,0,0,0
98,fresh_3,1,2,cm8,0,10,10,0,1,1,1,1,0
99,fresh_3,1,3,cm7,0,8,8,0,1,1,0,0,0
100,fresh_3,1,4,ca2,1,9,9,0,0,0,0,0,0
101,fresh_3,1,5,cm4,1,0,0,0,0,0,0,0,0
102,fresh_3,1,6,ca5,0,12,12,0,1,1,0,0,0
103,fresh_3,1,7,ka3,0,7,7,0,1,1,0,0,0
104,fresh_3,1,8,ca8,1,9,9,0,0,0,0,0,0
105,fresh_3,2,1,ka1,0,8,8,0,1,1,0,0,0
106,fresh_3,2,2,cm7,1,4,4,0,0,0,0,0,0
107,fresh_3,2,3,ca1,0,22,22,0,1,1,0,0,0
108,fresh_3,2,4,ca10,0,0,0,0,1,1,0,0,0
109,fresh_3,2,5,cm10,1,11,11,0,0,0,0,0,0
110,fresh_3,2,6,km1,0,21,21,0,1,1,0,0,0
111,fresh_3,2,7,ca3,1,12,12,0,0,0,0,0,0
112,fresh_3,2,8,cm4,0,21,21,0,1,1,0,0,0
113,fresh_3,3,1,km5,0,13,13,0,1,0,1,1,0
114,fresh_3,3,2,cm4,1,17,17,0,0,0,0,0,0
115,fresh_3,3,3,cm2,0,16,16,0,1,0,0,0,1
116,fresh_3,3,4,cm9,0,34,34,0,1,0,0,0,1
117,fresh_3,3,5,ka6,0,17,17,0,1,0,0,0,0
118,fresh_3,3,6,ca3,1,13,13,0,0,0,1,1,0
119,fresh_3,3,7,ca9,1,12,12,0,0,0,0,0,0
120,fresh_3,3,8,ca4,0,21,21,0,1,0,0,0,1
121,fresh_3,4,1,cm1,0,4,4,0,1,1,0,0,1
122,fresh_3,4,2,ca7,1,14,14,0,0,0,1,1,0
123,fresh_3,4,3,cm10,1,0,0,0,0,0,0,0,0
124,fresh_3,4,4,ca10,0,24,24,0,1,1,0,0,1
125,fresh_3,4,5,ka2,0,12,12,0,1,1,0,0,0
126,fresh_3,4,6,cm9,0,15,15,0,1,1,0,0,1
127,fresh_3,4,7,ca6,0,0,0,0,1,1,0,0,1
128,fresh_3,4,8,b2,0,1,1,0,1,1,0,0,0
129,fresh_3,5,1,ca5,0,5,5,0,0,0,0,1,0
130,fresh_3,5,2,cm10,0,0,0,0,0,0,0,0,0
131,fresh_3,5,3,cm2,1,0,0,0,0,0,0,0,0
132,fresh_3,5,4,ca2,1,11,11,0,0,0,0,1,0
133,fresh_3,5,5,b4,0,0,8,8,0,0,0,1,0
134,fresh_3,5,6,km3,0,0,0,0,0,0,0,0,0
135,fresh_3,5,7,ka5,0,0,0,0,0,0,0,0,0
136,fresh_3,5,8,cm8,1,0,0,0,0,0,0,0,0
137,fresh_3,6,1,cm9,1,0,0,0,0,0,0,0,0
138,fresh_3,6,2,ca4,0,0,0,0,0,0,0,0,0
139,fresh_3,6,3,ca6,1,0,0,0,0,0,0,0,0
140,fresh_3,6,4,b3,0,0,0,0,0,0,0,0,0
141,fresh_3,6,5,km2,0,0,0,0,0,0,0,0,0
142,fresh_3,6,6,cm1,1,0,0,0,0,0,0,0,0
143,fresh_3,6,7,cm4,0,0,0,0,0,0,0,0,0
144,fresh_3,6,8,ca10,0,0,0,0,0,0,0,0,0
145,fresh_4,1,1,ka6,0,10,10,0,1,1,0,0,0
146,fresh_4,1,2,km6,0,14,14,0,1,1,0,0,0
147,fresh_4,1,3,b1,0,14,14,0,1,1,0,0,0
148,fresh_4,1,4,ca9,1,10,10,0,0,0,0,0,0
149,fresh_4,1,5,cm2,0,8,8,0,1,1,1,1,0
150,fresh_4,1,6,ca3,0,15,15,0,1,1,1,1,0
151,fresh_4,1,7,ca10,1,7,7,0,0,0,1,1,0
152,fresh_4,1,8,cm10,1,0,0,0,0,0,0,0,0
153,fresh_4,2,1,cm9,1,12,12,0,0,0,1,1,0
154,fresh_4,2,2,cm7,0,14,14,0,1,1,1,1,0
155,fresh_4,2,3,km5,0,13,13,0,1,1,0,0,0
156,fresh_4,2,4,b2,0,18,18,0,1,1,1,1,0
157,fresh_4,2,5,ca6,0,16,16,0,1,1,0,0,0
158,fresh_4,2,6,ca8,0,19,19,0,1,1,0,0,0
159,fresh_4,2,7,ca10,1,21,21,0,0,0,0,0,0
160,fresh_4,2,8,cm1,1,0,0,0,0,0,0,0,0
161,fresh_4,3,1,ka6,0,6,6,0,1,1,0,0,0
162,fresh_4,3,2,ca10,1,21,21,0,0,0,1,1,0
163,fresh_4,3,3,b4,0,24,24,0,1,1,0,0,0
164,fresh_4,3,4,cm1,0,8,8,0,1,1,1,1,1
165,fresh_4,3,5,ca2,0,22,22,0,1,1,0,0,1
166,fresh_4,3,6,cm8,1,21,21,0,0,0,0,0,0
167,fresh_4,3,7,km3,0,4,4,0,1,1,0,0,0
168,fresh_4,3,8,cm6,1,23,23,0,0,0,1,1,0
169,fresh_4,4,1,cm2,1,10,10,0,0,0,1,1,0
170,fresh_4,4,2,ca1,0,15,15,0,1,1,0,0,1
171,fresh_4,4,3,ka3,0,9,9,0,1,1,0,0,0
172,fresh_4,4,4,km1,0,24,24,0,1,1,0,0,0
173,fresh_4,4,5,cm9,1,17,17,0,0,0,0,0,0
174,fresh_4,4,6,cm5,0,25,25,0,1,1,1,1,1
175,fresh_4,4,7,ca4,1,8,8,0,0,0,0,0,0
176,fresh_4,4,8,ca5,0,17,17,0,1,1,0,0,1
177,fresh_4,5,1,ca4,0,0,0,0,0,0,0,0,0
178,fresh_4,5,2,ca8,1,0,0,0,0,0,0,0,0
179,fresh_4,5,3,cm4,1,0,0,0,0,0,0,0,0
180,fresh_4,5,4,b1,0,0,0,0,0,0,0,0,0
181,fresh_4,5,5,cm3,0,0,0,0,0,0,0,0,0
182,fresh_4,5,6,ka1,0,0,0,0,0,0,0,0,0
183,fresh_4,5,7,ca1,1,5,5,0,0,0,0,1,0
184,fresh_4,5,8,cm8,0,0,0,0,0,0,0,0,0
185,fresh_4,6,1,ca3,1,0,0,0,0,0,0,0,0
186,fresh_4,6,2,km5,0,0,0,0,0,0,0,0,0
187,fresh_4,6,3,cm6,0,0,0,0,0,0,0,0,0
188,fresh_4,6,4,ca9,0,0,0,0,0,0,0,0,0
189,fresh_4,6,5,ka6,0,0,0,0,0,0,0,0,0
190,fresh_4,6,6,ca7,0,0,0,0,0,0,0,0,0
191,fresh_4,6,7,cm7,1,0,0,0,0,0,0,0,0
192,fresh_4,6,8,cm3,1,0,0,0,0,0,0,0,0
193,fresh_5,1,1,ca10,1,5,5,0,0,0,0,0,0
