pot_no,stem_no,tot_ht,grn_ht,mid_wd,bas_wd,cut,bent,twist,dh,color,allom,epi,porom,notes
211,2,0.5,0.5,0.9,1.0,0,0,0,0,0,0,0,0,
10,20,1.0,1.0,1.7,1.7,0,0,0,0,0,0,0,0,
21,6,1.0,1.0,1.5,1.7,0,0,0,0,0,0,0,0,
24,2,1.0,1.0,0.8,1.3,0,0,0,0,0,0,0,0,
1688,30,1.0,1.0,1.8,1.8,0,0,0,0,y,0,0,0,
69,2,1.5,1.5,1.3,1.5,0,0,0,0,0,0,0,0,
166,1,1.5,1.5,1.2,1.3,0,0,0,0,0,0,0,0,
395,3,1.5,1.5,1.7,1.7,0,0,0,0,0,0,0,0,
2,15,2.0,2.0,1.3,1.3,0,0,0,0,0,0,0,0,
9,17,2.0,2.0,3.2,1.4,0,0,0,1,0,0,0,0,
67,22,2.0,2.0,1.7,1.8,0,0,0,0,0,0,0,0,
69,3,2.0,2.0,1.2,2.0,0,0,0,0,0,0,0,0,
109,4,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,
154,1,2.0,2.0,1.5,2.0,0,0,0,0,0,0,0,0,
211,3,2.0,2.0,1.2,1.9,0,0,0,0,0,0,0,0,
245,1,2.0,2.0,1.4,1.8,0,0,0,0,0,0,0,0,
252,21,2.0,2.0,1.0,1.1,0,0,0,0,0,0,0,0,
342,19,2.0,2.0,1.3,1.3,0,0,0,0,0,0,0,0,
385,8,2.0,2.0,1.9,2.0,0,0,0,0,0,0,0,0,
392,25,2.0,2.0,1.5,1.5,0,0,0,0,0,0,0,0,
1650,27,2.0,2.0,1.4,1.7,0,0,0,0,0,0,0,0,
390,18,2.5,2.0,1.9,2.5,0,0,0,0,0,0,0,0,
1649,18,2.5,2.5,1.7,1.7,0,0,0,0,0,0,0,0,
1837,17,2.5,2.5,1.2,1.1,0,0,0,0,0,0,0,0,
1889,2,2.5,2.5,1.9,1.9,0,0,0,0,0,0,0,0,
3,19,3.0,3.0,1.4,1.8,0,0,0,0,0,0,0,0,
23,25,3.0,3.0,1.9,2.4,0,0,0,0,0,0,0,0,
24,1,3.0,3.0,1.3,2.0,0,0,0,0,0,0,0,0,
109,3,3.0,3.0,1.6,2.7,0,0,0,0,0,0,0,0,
114,5,3.0,3.0,1.6,2.5,0,0,0,0,0,0,0,0,
162,5,3.0,3.0,1.7,2.2,0,0,0,0,0,0,0,0,
183,8,3.0,3.0,0.7,0.7,0,0,0,0,0,0,0,0,
201,20,3.0,3.0,1.9,1.9,0,0,0,0,0,0,0,0,
211,1,3.0,3.0,0.6,1.4,0,0,0,0,0,0,0,0,
218,27,3.0,3.0,1.5,2.0,0,0,0,0,0,0,0,0,
