genotype,genotype_code,location,depth,cohort,origin,date_cloned,date_planted,date_planted_sp,weight,width,nodes,initial_frame,position,site_frame,co2,comp,salinity,flood_level,notes
cm4,C2AT-9,corn,0,corn_modern,utk,6/19/19,6/25/19,6/13/19,0.472,1.27,2,7,1,fresh_1,ambient,1,fresh,1,
ka5,156,kirkpatrick,20,kirk_ancestral,nd,6/19/19,6/25/19,NA,0.611,1.77,2,7,2,fresh_1,ambient,0,fresh,1,
b3,235,blackwater,8,blackwater,nd,6/9/19,6/13/19,NA,0.618,2.46,1,7,3,fresh_1,ambient,0,fresh,1,
cm3,C4AS-7,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.153,1.07,1,7,4,fresh_1,ambient,0,fresh,1,
ca1,C4BH-6,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,NA,0.437,1.24,1,7,5,fresh_1,ambient,0,fresh,1,
cm1,C4AS-8,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.656,1.33,1,7,6,fresh_1,ambient,0,fresh,1,
km5,159,kirkpatrick,extant,kirk_modern,nd,6/9/19,6/13/19,NA,1.069,1.81,1,7,7,fresh_1,ambient,0,fresh,1,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.842,1.85,1,7,8,fresh_1,ambient,1,fresh,1,
cm6,C4AS-5,corn,0,corn_modern,utk,5/27/19,6/13/19,6/13/19,0.582,1.37,1,7,1,fresh_1,ambient,1,fresh,2,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/13/19,NA,0.942,2.64,1,7,2,fresh_1,ambient,0,fresh,2,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.978,1.98,1,7,3,fresh_1,ambient,0,fresh,2,
ca4,cm4,corn,20.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.456,1.69,1,7,4,fresh_1,ambient,1,fresh,2,
ca8,130,corn,15,corn_ancestral,nd,5/27/19,6/13/19,6/25/19,0.934,4.27,1,7,5,fresh_1,ambient,1,fresh,2,
km6,141,kirkpatrick,0,kirk_modern,nd,6/9/19,6/13/19,NA,1.278,1.52,1,7,6,fresh_1,ambient,0,fresh,2,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/27/19,6/13/19,NA,0.709,2.09,2,7,7,fresh_1,ambient,0,fresh,2,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,6/10/19,6/13/19,NA,2.133,1.76,1,7,8,fresh_1,ambient,0,fresh,2,
cm7,C4AS-13,corn,0,corn_modern,utk,5/27/19,6/13/19,NA,0.909,0.94,1,7,1,fresh_1,ambient,0,fresh,3,
ca8,130,corn,15,corn_ancestral,nd,5/27/19,6/13/19,6/13/19,0.831,1.79,1,7,2,fresh_1,ambient,1,fresh,3,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,6/9/19,6/13/19,NA,2.181,2.51,2,7,3,fresh_1,ambient,0,fresh,3,
cm5,C4AS-2,corn,0,corn_modern,utk,6/9/19,6/13/19,NA,0.545,1.19,1,7,4,fresh_1,ambient,0,fresh,3,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/19/19,6/25/19,NA,1.025,1.67,1,7,5,fresh_1,ambient,0,fresh,3,
cm1,C4AS-8,corn,0,corn_modern,utk,6/9/19,6/13/19,6/25/19,1.532,2,1,7,6,fresh_1,ambient,1,fresh,3,
km2,KM1B1Q-5,kirkpatrick,0,kirk_modern,utk,5/27/19,6/13/19,NA,0.77,1.48,1,7,7,fresh_1,ambient,0,fresh,3,
ca5,C4BI-5,corn,18.75,corn_ancestral,utk,5/27/19,6/13/19,6/13/19,0.413,1.32,1,7,8,fresh_1,ambient,1,fresh,3,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/25/19,6/14/19,1.048,2.23,2,7,1,fresh_1,ambient,1,fresh,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/14/19,NA,0.88,1.88,1,7,2,fresh_1,ambient,0,fresh,4,
km1,KM1B1Q-3,kirkpatrick,0,kirk_modern,utk,5/27/19,6/14/19,NA,2.347,1.88,1,7,3,fresh_1,ambient,0,fresh,4,
cm8,127,corn,0,corn_modern,nd,6/9/19,6/14/19,6/14/19,1.45,1.39,1,7,4,fresh_1,ambient,1,fresh,4,
ca3,C4BI-6,corn,18.75,corn_ancestral,utk,5/27/19,6/14/19,6/14/19,1.361,0.75,1,7,5,fresh_1,ambient,1,fresh,4,
cm4,C2AT-9,corn,0,corn_modern,utk,5/27/19,6/14/19,NA,0.2,1.44,1,7,6,fresh_1,ambient,0,fresh,4,
cm3,C4AS-7,corn,0,corn_modern,utk,5/27/19,6/14/19,NA,1.507,1.92,1,7,7,fresh_1,ambient,0,fresh,4,
