Core,Depth,Year
MX2,1,1999
MX2,3,1994
MX2,5,1988
MX2,7,1983
MX2,9,1973
MX2,11,1956
MX2,13,1937
MX2,15,1923
MX2,17,1914
MX2,19,1906
MX2,21,1897
MX2,23,1891
MX2,25,1855
MX2,27,1855
MX1,1,1999
MX1,3,1994
MX1,5,1990
MX1,7,1986
MX1,9,1981
MX1,11,1971
MX1,13,1953
MX1,15,1937
MX1,17,1920
MX1,19,1900
MX1,21,1900
MX1,23,1883
MX1,25,1883
MX1,27,1867
MX1,29,1867
MX4,1,1998
MX4,3,1994
MX4,5,1989
MX4,7,1979
MX4,9,1967
MX4,11,1957
MX4,13,1946
MX4,15,1935
MX4,17,1922
MX4,19,1910
MX4,21,1892
MX4,23,1881
MX4,25,1857
MX4,27,1855
MX4,29,1830
,,
