pot_no,depth_roots,biomass,cum_sum
2,0,0,0
2,10,2.356,0.5069937594146761
2,20,0.717,0.6612868517323003
2,70,1.574,0.9999999999999999
3,0,0,0
3,10,3.129,0.5785872781065089
3,20,0.847,0.735207100591716
3,70,1.432,1
4,0,0,0
4,10,1.9,0.2694271128757799
4,20,3.289,0.7358196256381169
4,70,1.863,1
5,0,0,0
5,10,0.7080000000000001,0.285829632620105
5,20,0.756,0.5910375454178443
5,70,1.013,1
6,0,0,0
6,10,3.647,0.49064980492398763
6,20,2.674,0.850396878783802
6,70,1.112,1
7,0,0,0
7,10,5.807,0.6809333958724203
7,20,1.441,0.849906191369606
7,70,1.28,1
10,0,0,0
10,10,5.614,0.6938573723890743
10,20,1.147,0.835619824496354
10,70,1.33,1
11,0,0,0
11,10,3.936,0.7093169940529824
11,20,0.803,0.8540277527482428
11,70,0.81,0.9999999999999999
14,0,0,0
14,10,3.744,0.6828378624840415
14,20,0.822,0.8327557906255699
14,70,0.917,1
15,0,0,0
15,10,9.23,0.6530352341870667
15,20,2.341,0.818664213952172
15,70,2.563,1
16,0,0,0
16,10,5.791,0.46856541791407075
16,20,2.676,0.6850877902742941
16,70,3.892,1
17,0,0,0
17,10,4.543,0.7347565906517872
17,20,1.375,0.9571405466601974
17,70,0.265,1
19,0,0,0
19,10,5.046,0.6600392413342053
19,20,1.83,0.8994113799869196
19,70,0.769,1
20,0,0,0
20,10,3.83,0.6276630612913798
20,20,1.808,0.9239593575876761
20,70,0.464,1
21,0,0,0
21,10,5.055,0.7492218763895064
21,20,0.741,0.8590484659848822
21,70,0.951,1
23,0,0,0
23,10,7.5,0.7882291119285338
23,20,1.122,0.9061481870730426
23,70,0.893,1
26,0,0,0
26,10,5.67,0.8095374071958881
26,20,0.863,0.9327527127355797
26,70,0.471,1
27,0,0,0
27,10,7.117,0.7581762011292212
27,20,1.272,0.8936827527431555
27,70,0.998,1
30,0,0,0
30,10,4.198,0.803291236127057
30,20,0.764,0.9494833524684271
30,70,0.264,1
31,0,0,0
31,10,8.386,0.8113390092879257
31,20,1.465,0.9530766253869969
31,70,0.485,1
40,0,0,0
40,10,1.384,0.6625179511728099
40,20,0.179,0.7482048827190042
40,70,0.526,0.9999999999999999
51,0,0,0
51,10,5.399,0.7271380471380472
51,20,1.21,0.8901010101010102
51,70,0.816,1
52,0,0,0
52,10,2.925,0.34134671490255575
52,20,2.277,0.6070720037343915
52,70,3.367,1
53,0,0,0
53,10,4.846,0.7215604526503872
53,20,1.039,0.8762656343061346
53,70,0.831,1
54,0,0,0
54,10,6.633,0.5696985313063643
54,20,2.071,0.7475736494030747
54,70,2.939,1
56,0,0,0
56,10,5.416,0.5780149413020277
56,20,1.935,0.7845250800426894
56,70,2.019,0.9999999999999999
57,0,0,0
57,10,3.778,0.5762660158633313
57,20,1.714,0.837705918242831
57,70,1.064,1
59,0,0,0
59,10,4.487,0.5812929135898433
59,20,2.081,0.8508874206503433
59,70,1.151,1
62,0,0,0
62,10,4.183,0.3485542871427381
62,20,4.865,0.7539371719023416
62,70,2.953,1
63,0,0,0
63,10,6.314,0.6138440598872253
63,20,2.063,0.8144079331129691
63,70,1.909,1
64,0,0,0
64,10,8.879,0.5539334955393349
64,20,1.751,0.6631729989394223
64,70,5.399,1
65,0,0,0
65,10,5.573,0.7673137821836706
65,20,0.805,0.8781495249896737
65,70,0.885,1
66,0,0,0
66,10,6.277,0.5797007757665312
66,20,2.725,0.8313631326191356
66,70,1.826,1
67,0,0,0
67,10,6.198,0.7735896155766351
67,20,1.22,0.9258612081877184
67,70,0.594,1
68,0,0,0
68,10,9.279,0.726568005637773
68,20,1.935,0.8780831571529245
68,70,1.557,0.9999999999999999
70,0,0,0
70,10,2.144,0.46236791028682334
70,20,2.144,0.9247358205736467
70,70,0.349,0.9999999999999999
72,0,0,0
72,10,7.296,0.6301062267898783
72,20,3.3,0.9151049313412212
72,70,0.983,1
73,0,0,0
73,10,8.721,0.8006793977230996
73,20,1.514,0.939680499449137
73,70,0.657,1
74,0,0,0
74,10,4.797,0.7436056425360409
74,20,1.122,0.9175321655557278
74,70,0.532,1
75,0,0,0
75,10,4.139,0.8400649482443677
75,20,0.339,0.9088694946214735
75,70,0.449,1
77,0,0,0
77,10,10.704,0.7714594594594595
77,20,1.755,0.897945945945946
77,70,1.416,1
80,0,0,0
80,10,6.167,0.7804353328271323
80,20,1.359,0.9524171095925081
80,70,0.376,0.9999999999999999
81,0,0,0
81,10,0.147,0.36934673366834164
81,20,0.027,0.43718592964824116
81,70,0.224,0.9999999999999999
85,0,0,0
85,10,0.077,0.48125
85,20,0.026,0.64375
85,70,0.057,1
87,0,0,0
87,10,2.093,0.7148224043715847
87,20,0.39699999999999996,0.8504098360655739
87,70,0.438,1
97,0,0,0
97,10,1.576,0.3114624505928854
97,20,2.139,0.7341897233201582
97,70,1.345,1
98,0,0,0
98,10,1.46,0.2629682997118155
98,20,3.547,0.9018371757925072
98,70,0.545,1
99,0,0,0
99,10,2.161,0.4052888222055514
99,20,1.755,0.7344336084021006
99,70,1.416,1
102,0,0,0
102,10,3.501,0.5210596815002233
102,20,1.342,0.72079178449174
102,70,1.876,1
103,0,0,0
103,10,2.372,0.25084602368866327
103,20,1.445,0.40365905245346867
103,70,5.639,1
105,0,0,0
105,10,1.191,0.728440366972477
105,20,0.113,0.7975535168195719
105,70,0.331,1
107,0,0,0
107,10,5.025,0.5503230752381996
107,20,2.568,0.8315628080166466
107,70,1.538,1
110,0,0,0
110,10,7.621,0.5868175868175869
110,20,2.818,0.8038038038038039
110,70,2.548,1
112,0,0,0
112,10,4.941,0.4544701986754967
112,20,3.909,0.8140176600441501
112,70,2.022,1
113,0,0,0
113,10,5.331,0.7164359629082112
113,20,1.21,0.8790485149845451
113,70,0.9,0.9999999999999999
115,0,0,0
115,10,12.904,0.8400494759455764
115,20,1.76,0.9546253499121151
115,70,0.697,1
116,0,0,0
116,10,12.338,0.903154966693507
116,20,0.623,0.9487592416367762
116,70,0.7,1
117,0,0,0
117,10,8.611,0.8050673148840688
117,20,1.031,0.9014584891548242
117,70,1.054,1
120,0,0,0
120,10,8.342,0.7055142083897159
120,20,2.221,0.89335250338295
120,70,1.261,1
121,0,0,0
121,10,0.8460000000000001,0.6034236804564908
121,20,0.106,0.6790299572039943
121,70,0.45,1
124,0,0,0
124,10,8.545,0.863567458312279
124,20,0.575,0.921677614957049
124,70,0.775,1
125,0,0,0
125,10,3.696,0.8277715565509519
125,20,0.29,0.8927211646136619
125,70,0.479,1
126,0,0,0
126,10,7.996,0.9347673602992752
126,20,0.41,0.9826981529109189
126,70,0.148,1
128,0,0,0
128,10,0.081,0.1603960396039604
128,20,0.055,0.2693069306930693
128,70,0.369,1
129,0,0,0
129,10,1.857,0.7386634844868735
129,20,0.257,0.8408910103420842
129,70,0.4,1
130,0,0,0
130,10,0.027,0.2477064220183486
130,20,0.003,0.27522935779816515
130,70,0.079,1
135,0,0,0
135,10,0.068,0.3451776649746193
135,20,0.046,0.5786802030456852
135,70,0.083,1
145,0,0,0
145,10,3.328,0.8370221327967806
145,20,0.204,0.8883299798792755
145,70,0.444,0.9999999999999999
146,0,0,0
146,10,6.032,0.7204968944099379
146,20,0.992,0.8389870998566651
146,70,1.348,1
147,0,0,0
147,10,0.081,0.022125102431029775
147,20,1.438,0.4149139579349904
147,70,2.142,1
149,0,0,0
149,10,4.666,0.5384260327717517
149,20,1.707,0.7354027232864067
149,70,2.293,1
150,0,0,0
150,10,3.583,0.5389590854392299
150,20,1.431,0.7542117930204573
150,70,1.634,1
154,0,0,0
154,10,4.326,0.6771012678040382
154,20,1.112,0.8511504147753953
154,70,0.951,1
155,0,0,0
155,10,5.43,0.5790764636877467
155,20,1.898,0.7814866161885465
155,70,2.049,1
156,0,0,0
156,10,7.257,0.7498450092994421
156,20,1.074,0.8608183508989461
156,70,1.347,1
157,0,0,0
157,10,6.771,0.5693743693239153
157,20,2.732,0.7991086444668686
157,70,2.389,1
158,0,0,0
158,10,6.546,0.6814490943160525
158,20,1.619,0.8499895898396835
158,70,1.441,1
161,0,0,0
161,10,1.472,0.6507515473032714
161,20,0.43000000000000005,0.8408488063660478
