,Plot,Depth,N,NH4.uM,sd,se,ci,Rerun,Plate,Notes
1,10,10,3,40.2991205,2.623683573,1.514784417,6.517591308,,4,
2,14,10,3,32.99530536,0.293599004,0.169509464,0.729340357,,4,
3,18,10,3,33.44378522,1.386014734,0.80021598,3.44305147,,4,
4,22,10,2,30.94511162,1.359099255,0.9610283,12.21102233,,4,
5,37,10,3,32.41868834,1.972645709,1.138907531,4.900323597,,4,
6,40,10,3,33.05937389,0.693007352,0.400107981,1.721525697,,4,
7,52,10,2,43.63068532,0.815459538,0.576616969,7.32661326,,4,
8,53,10,3,52.21587156,2.537794179,1.465196152,6.304230224,,4,
9,59,10,3,36.96755568,0.88775991,0.512548423,2.205317871,,4,
10,64,10,3,32.61089403,0.400107999,0.231002461,0.993923369,,4,
11,87,10,2,31.13731726,0.271819859,0.192205666,2.442204537,,4,
12,88,10,3,35.23770473,0.443879971,0.256274221,1.102658975,,4,
13,98,10,3,34.08447074,0.400107999,0.231002461,0.993923369,,4,
14,113,10,2,36.42297298,0.407729749,0.288308471,3.663306454,,4,
15,118,10,3,41.00387461,1.279768357,0.738874605,3.179120837,,4,
16,122,10,3,45.29646773,2.55953672,1.477749214,6.358241691,,4,
17,129,10,3,36.32687015,1.153233965,0.66581994,2.864791984,,4,
18,132,10,3,35.55804751,0.384411331,0.221939985,0.954930684,,4,
19,133,10,2,37.57620697,2.310468762,1.633748129,20.75873822,,4,
20,149,10,3,41.00387459,1.442609905,0.832891217,3.583641669,,4,
21,150,10,3,37.351967,0.483706984,0.279268357,1.20159476,,4,
22,151,10,2,37.48010411,0.815459577,0.576616997,7.326613612,,4,
23,153,10,3,36.77535002,1.23570951,0.713437218,3.069672595,,4,
24,154,10,3,30.36849461,0.384411303,0.221939969,0.954930615,,4,
25,156,10,3,40.55539472,1.153233965,0.66581994,2.864791984,,4,
26,162,10,2,39.97877773,2.71819855,1.922056627,24.42204502,,4,
27,164,10,3,34.64623272,0.100182034,0.057840124,0.248865968,,5,
28,168,10,3,30.71310446,0.966120517,0.55778994,2.399976409,,5,
29,169,10,3,35.28247407,0.609383492,0.351827723,1.513792514,,5,
30,174,10,3,41.12432633,0.918183475,0.530113476,2.280894196,,5,
31,183,10,3,30.36606375,0,0,0,,5,
32,200,10,3,62.12029039,3.128182833,1.806057201,7.770836945,,5,
33,204,10,3,35.22463392,0.62563657,0.361211442,1.554167397,,5,
34,206,10,3,50.26013133,2.507202914,1.447534277,6.228237309,,6,
35,211,10,3,35.39815428,1.137849121,0.656937496,2.826573911,,5,
36,213,10,3,27.82109838,1.475773428,0.852038186,3.666024426,,5,
37,214,10,3,31.23366554,1.76103936,1.016736549,4.374664287,,5,
38,216,10,3,34.8775932,2.103822625,1.214642559,5.226185121,,5,
39,222,10,3,28.39949962,0.801456238,0.462720975,1.990927666,,5,
40,228,10,3,35.05111355,0.756357737,0.436683343,1.878896777,,5,
41,229,10,3,30.13470325,1.255277236,0.72473465,3.11828152,,5,
42,245,10,3,34.18351174,0.694081462,0.400728119,1.724193936,,5,
43,249,10,3,29.4406218,1.016736535,0.587013112,2.525713569,,5,
44,251,10,3,27.5318978,0.609383492,0.351827723,1.513792514,,5,
45,253,10,3,36.32359625,2.69003206,1.553090734,6.682410086,,5,
46,258,10,3,32.27478774,0.918183454,0.530113464,2.280894144,,5,
47,259,10,3,29.61414215,1.060226959,0.61212232,2.633749771,,5,
48,260,10,3,29.84550263,0.347040745,0.200364068,0.862097002,,5,
49,270,10,3,29.61414214,0.200364068,0.115680248,0.497731936,,5,
50,289,10,3,32.21694763,1.001820306,0.578401223,2.488659602,,5,
51,292,10,3,37.3068783,0.867601835,0.500910153,2.155242437,,5,
52,297,10,3,38.05879988,1.347811365,0.778159255,3.348149041,,5,
53,302,10,3,38.12837548,0.937802017,0.541440247,2.329629358,,6,
54,303,10,3,37.50445662,2.083192891,1.202731976,5.174938021,,6,
55,304,10,3,37.85107822,0.207972948,0.120073237,0.516633442,,6,
56,305,10,3,34.66215954,1.337079066,0.771962958,3.321488531,,6,
57,306,10,3,35.63270002,0.635367874,0.366829813,1.578341296,,6,
58,308,10,3,34.59283523,2.541471513,1.467319262,6.31336523,,6,
59,309,10,3,36.46459185,1.921171892,1.109189109,4.772455547,,6,
60,310,10,3,34.87013249,0.432930245,0.249952393,1.075458347,,6,
61,313,10,3,40.13878075,2.859155468,1.650734179,7.102535923,,6,
62,317,10,3,37.01918639,0.62391887,0.360219728,1.549900395,,6,
63,320,10,3,34.31553795,0.207972948,0.120073237,0.516633442,,6,
64,325,10,3,125.9622878,5.07868655,2.932181047,12.61615679,,6,
65,326,10,3,92.82526326,2.823636626,1.630227366,7.014302228,,6,
66,338,10,3,46.43232511,1.481882726,0.855565391,3.681200765,,1,
67,340,10,3,41.1634088,0.377268871,0.217816284,0.937187829,,1,
68,342,10,3,42.9745988,0.427782687,0.24698045,1.062671106,,1,
69,343,10,3,68.00195133,4.556326378,2.630596261,11.31854218,,1,
70,345,10,3,47.66722736,1.283348094,0.740941368,3.188013399,,1,
71,346,10,3,45.52673014,0.998159614,0.576287722,2.479565939,,1,
72,347,10,3,44.8681156,2.100544184,1.21274975,5.218041022,,1,
73,350,10,3,53.26545097,2.129385971,1.229401563,5.289687992,,1,
74,351,10,3,41.08108197,0.514130828,0.296833572,1.27717178,,1,
75,354,10,3,45.03276922,1.360262277,0.785347792,3.379078819,,1,
76,370,10,3,46.8439592,2.473917423,1.42831689,6.145551567,,1,
77,375,10,3,40.99875514,1.781001364,1.028261617,4.424252653,,1,
78,392,10,3,49.80772463,1.644476896,0.949439179,4.085107074,,1,
79,397,10,3,44.70346194,1.728863166,0.998159614,4.294734188,,1,
80,399,10,3,44.12717422,0.998159625,0.576287728,2.479565968,,1,
