"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/15","00:00","0.155","-","0.508"
"2019/09/15","00:06","0.15","-","0.503"
"2019/09/15","00:12","0.145","-","0.497"
"2019/09/15","00:18","0.139","-","0.49"
"2019/09/15","00:24","0.134","-","0.484"
"2019/09/15","00:30","0.128","-","0.474"
"2019/09/15","00:36","0.122","-","0.464"
"2019/09/15","00:42","0.117","-","0.457"
"2019/09/15","00:48","0.111","-","0.447"
"2019/09/15","00:54","0.105","-","0.444"
"2019/09/15","01:00","0.099","-","0.432"
"2019/09/15","01:06","0.092","-","0.43"
"2019/09/15","01:12","0.086","-","0.421"
"2019/09/15","01:18","0.08","-","0.416"
"2019/09/15","01:24","0.074","-","0.409"
"2019/09/15","01:30","0.067","-","0.402"
"2019/09/15","01:36","0.061","-","0.392"
"2019/09/15","01:42","0.054","-","0.381"
"2019/09/15","01:48","0.048","-","0.373"
"2019/09/15","01:54","0.041","-","0.365"
"2019/09/15","02:00","0.035","-","0.356"
"2019/09/15","02:06","0.028","-","0.349"
"2019/09/15","02:12","0.022","-","0.343"
"2019/09/15","02:18","0.016","-","0.338"
"2019/09/15","02:24","0.009","-","0.332"
"2019/09/15","02:30","0.003","-","0.326"
"2019/09/15","02:36","-0.003","-","0.317"
"2019/09/15","02:42","-0.009","-","0.311"
"2019/09/15","02:48","-0.015","-","0.303"
"2019/09/15","02:54","-0.021","-","0.292"
"2019/09/15","03:00","-0.027","-","0.286"
"2019/09/15","03:06","-0.032","-","0.281"
"2019/09/15","03:12","-0.037","-","0.273"
"2019/09/15","03:18","-0.042","-","0.267"
"2019/09/15","03:24","-0.047","-","0.262"
"2019/09/15","03:30","-0.051","-","0.256"
"2019/09/15","03:36","-0.055","-","0.251"
"2019/09/15","03:42","-0.059","-","0.247"
"2019/09/15","03:48","-0.062","-","0.241"
"2019/09/15","03:54","-0.065","-","0.237"
"2019/09/15","04:00","-0.067","-","0.233"
"2019/09/15","04:06","-0.069","-","0.23"
"2019/09/15","04:12","-0.07","-","0.227"
"2019/09/15","04:18","-0.071","-","0.226"
"2019/09/15","04:24","-0.072","-","0.225"
"2019/09/15","04:30","-0.072","-","0.225"
"2019/09/15","04:36","-0.072","-","0.223"
"2019/09/15","04:42","-0.071","-","0.224"
"2019/09/15","04:48","-0.069","-","0.225"
"2019/09/15","04:54","-0.067","-","0.227"
"2019/09/15","05:00","-0.065","-","0.227"
"2019/09/15","05:06","-0.062","-","0.231"
"2019/09/15","05:12","-0.059","-","0.233"
"2019/09/15","05:18","-0.055","-","0.237"
"2019/09/15","05:24","-0.051","-","0.241"
"2019/09/15","05:30","-0.046","-","0.243"
"2019/09/15","05:36","-0.042","-","0.247"
"2019/09/15","05:42","-0.036","-","0.254"
"2019/09/15","05:48","-0.031","-","0.259"
"2019/09/15","05:54","-0.025","-","0.263"
"2019/09/15","06:00","-0.019","-","0.268"
"2019/09/15","06:06","-0.012","-","0.274"
"2019/09/15","06:12","-0.006","-","0.278"
"2019/09/15","06:18","0.001","-","0.282"
"2019/09/15","06:24","0.008","-","0.289"
"2019/09/15","06:30","0.015","-","0.295"
"2019/09/15","06:36","0.023","-","0.302"
"2019/09/15","06:42","0.03","-","0.308"
"2019/09/15","06:48","0.038","-","0.316"
"2019/09/15","06:54","0.045","-","0.32"
"2019/09/15","07:00","0.053","-","0.33"
"2019/09/15","07:06","0.06","-","0.336"
"2019/09/15","07:12","0.068","-","0.338"
"2019/09/15","07:18","0.075","-","0.344"
"2019/09/15","07:24","0.083","-","0.35"
"2019/09/15","07:30","0.09","-","0.354"
"2019/09/15","07:36","0.098","-","0.361"
"2019/09/15","07:42","0.105","-","0.367"
"2019/09/15","07:48","0.112","-","0.375"
"2019/09/15","07:54","0.12","-","0.38"
"2019/09/15","08:00","0.127","-","0.386"
"2019/09/15","08:06","0.134","-","0.393"
"2019/09/15","08:12","0.141","-","0.395"
"2019/09/15","08:18","0.148","-","0.399"
"2019/09/15","08:24","0.155","-","0.403"
"2019/09/15","08:30","0.161","-","0.408"
"2019/09/15","08:36","0.168","-","0.414"
"2019/09/15","08:42","0.174","-","0.419"
"2019/09/15","08:48","0.18","-","0.426"
"2019/09/15","08:54","0.186","-","0.434"
"2019/09/15","09:00","0.192","-","0.438"
"2019/09/15","09:06","0.197","-","0.443"
"2019/09/15","09:12","0.202","-","0.449"
"2019/09/15","09:18","0.207","-","0.451"
"2019/09/15","09:24","0.212","-","0.455"
"2019/09/15","09:30","0.217","-","0.46"
"2019/09/15","09:36","0.221","-","0.462"
"2019/09/15","09:42","0.224","-","0.466"
"2019/09/15","09:48","0.228","-","0.468"
"2019/09/15","09:54","0.231","-","0.472"
"2019/09/15","10:00","0.234","-","0.475"
"2019/09/15","10:06","0.236","-","0.476"
"2019/09/15","10:12","0.238","-","0.475"
"2019/09/15","10:18","0.24","-","0.476"
"2019/09/15","10:24","0.241","-","0.476"
"2019/09/15","10:30","0.242","-","0.476"
"2019/09/15","10:36","0.242","-","0.477"
"2019/09/15","10:42","0.242","-","0.477"
"2019/09/15","10:48","0.241","-","0.476"
"2019/09/15","10:54","0.24","-","0.473"
"2019/09/15","11:00","0.239","-","0.47"
"2019/09/15","11:06","0.237","-","0.468"
"2019/09/15","11:12","0.235","-","0.466"
"2019/09/15","11:18","0.232","-","0.464"
"2019/09/15","11:24","0.229","-","0.46"
"2019/09/15","11:30","0.226","-","0.455"
"2019/09/15","11:36","0.222","-","0.451"
"2019/09/15","11:42","0.218","-","0.446"
"2019/09/15","11:48","0.213","-","0.44"
"2019/09/15","11:54","0.209","-","0.433"
"2019/09/15","12:00","0.203","-","0.427"
"2019/09/15","12:06","0.198","-","0.42"
"2019/09/15","12:12","0.192","-","0.415"
"2019/09/15","12:18","0.187","-","0.408"
"2019/09/15","12:24","0.181","-","0.402"
"2019/09/15","12:30","0.174","-","0.397"
"2019/09/15","12:36","0.168","-","0.392"
"2019/09/15","12:42","0.161","-","0.385"
"2019/09/15","12:48","0.154","-","0.379"
"2019/09/15","12:54","0.148","-","0.372"
"2019/09/15","13:00","0.141","-","0.362"
"2019/09/15","13:06","0.133","-","0.353"
"2019/09/15","13:12","0.126","-","0.347"
"2019/09/15","13:18","0.119","-","0.341"
"2019/09/15","13:24","0.112","-","0.333"
"2019/09/15","13:30","0.104","-","0.324"
"2019/09/15","13:36","0.097","-","0.317"
"2019/09/15","13:42","0.089","-","0.308"
"2019/09/15","13:48","0.082","-","0.3"
"2019/09/15","13:54","0.074","-","0.293"
"2019/09/15","14:00","0.066","-","0.285"
"2019/09/15","14:06","0.059","-","0.28"
"2019/09/15","14:12","0.051","-","0.273"
"2019/09/15","14:18","0.043","-","0.264"
"2019/09/15","14:24","0.036","-","0.255"
"2019/09/15","14:30","0.028","-","0.246"
"2019/09/15","14:36","0.021","-","0.239"
"2019/09/15","14:42","0.013","-","0.234"
"2019/09/15","14:48","0.006","-","0.225"
"2019/09/15","14:54","-0.002","-","0.216"
"2019/09/15","15:00","-0.009","-","0.208"
"2019/09/15","15:06","-0.016","-","0.196"
"2019/09/15","15:12","-0.023","-","0.189"
"2019/09/15","15:18","-0.03","-","0.18"
"2019/09/15","15:24","-0.036","-","0.172"
"2019/09/15","15:30","-0.042","-","0.166"
"2019/09/15","15:36","-0.048","-","0.158"
"2019/09/15","15:42","-0.054","-","0.149"
"2019/09/15","15:48","-0.06","-","0.145"
"2019/09/15","15:54","-0.065","-","0.14"
"2019/09/15","16:00","-0.07","-","0.133"
"2019/09/15","16:06","-0.074","-","0.127"
"2019/09/15","16:12","-0.078","-","0.121"
"2019/09/15","16:18","-0.082","-","0.115"
"2019/09/15","16:24","-0.085","-","0.11"
"2019/09/15","16:30","-0.087","-","0.103"
"2019/09/15","16:36","-0.09","-","0.098"
"2019/09/15","16:42","-0.091","-","0.097"
"2019/09/15","16:48","-0.092","-","0.094"
"2019/09/15","16:54","-0.093","-","0.094"
"2019/09/15","17:00","-0.093","-","0.095"
"2019/09/15","17:06","-0.093","-","0.093"
"2019/09/15","17:12","-0.092","-","0.093"
"2019/09/15","17:18","-0.091","-","0.093"
"2019/09/15","17:24","-0.089","-","0.091"
"2019/09/15","17:30","-0.087","-","0.093"
"2019/09/15","17:36","-0.084","-","0.097"
"2019/09/15","17:42","-0.081","-","0.1"
"2019/09/15","17:48","-0.077","-","0.105"
"2019/09/15","17:54","-0.073","-","0.106"
"2019/09/15","18:00","-0.068","-","0.111"
"2019/09/15","18:06","-0.064","-","0.118"
"2019/09/15","18:12","-0.058","-","0.12"
"2019/09/15","18:18","-0.053","-","0.128"
"2019/09/15","18:24","-0.047","-","0.133"
"2019/09/15","18:30","-0.041","-","0.139"
"2019/09/15","18:36","-0.035","-","0.144"
"2019/09/15","18:42","-0.028","-","0.148"
"2019/09/15","18:48","-0.021","-","0.153"
"2019/09/15","18:54","-0.015","-","0.162"
"2019/09/15","19:00","-0.008","-","0.169"
"2019/09/15","19:06","-0.001","-","0.175"
"2019/09/15","19:12","0.007","-","0.18"
"2019/09/15","19:18","0.014","-","0.188"
"2019/09/15","19:24","0.021","-","0.194"
"2019/09/15","19:30","0.029","-","0.202"
"2019/09/15","19:36","0.036","-","0.207"
"2019/09/15","19:42","0.043","-","0.214"
"2019/09/15","19:48","0.051","-","0.22"
"2019/09/15","19:54","0.058","-","0.225"
"2019/09/15","20:00","0.065","-","0.23"
"2019/09/15","20:06","0.073","-","0.236"
"2019/09/15","20:12","0.08","-","0.241"
"2019/09/15","20:18","0.087","-","0.249"
"2019/09/15","20:24","0.094","-","0.256"
"2019/09/15","20:30","0.101","-","0.261"
"2019/09/15","20:36","0.108","-","0.266"
"2019/09/15","20:42","0.114","-","0.273"
"2019/09/15","20:48","0.121","-","0.278"
"2019/09/15","20:54","0.128","-","0.282"
"2019/09/15","21:00","0.134","-","0.287"
"2019/09/15","21:06","0.14","-","0.294"
"2019/09/15","21:12","0.146","-","0.299"
"2019/09/15","21:18","0.152","-","0.304"
"2019/09/15","21:24","0.158","-","0.31"
"2019/09/15","21:30","0.163","-","0.313"
"2019/09/15","21:36","0.169","-","0.318"
"2019/09/15","21:42","0.174","-","0.324"
"2019/09/15","21:48","0.179","-","0.329"
"2019/09/15","21:54","0.183","-","0.333"
"2019/09/15","22:00","0.187","-","0.337"
"2019/09/15","22:06","0.191","-","0.342"
"2019/09/15","22:12","0.195","-","0.344"
"2019/09/15","22:18","0.198","-","0.346"
"2019/09/15","22:24","0.201","-","0.35"
"2019/09/15","22:30","0.204","-","0.35"
"2019/09/15","22:36","0.206","-","0.35"
"2019/09/15","22:42","0.208","-","0.352"
"2019/09/15","22:48","0.209","-","0.353"
"2019/09/15","22:54","0.211","-","0.356"
"2019/09/15","23:00","0.211","-","0.356"
"2019/09/15","23:06","0.211","-","0.357"
"2019/09/15","23:12","0.211","-","0.359"
"2019/09/15","23:18","0.211","-","0.354"
"2019/09/15","23:24","0.21","-","0.35"
"2019/09/15","23:30","0.208","-","0.349"
"2019/09/15","23:36","0.207","-","0.346"
"2019/09/15","23:42","0.205","-","0.347"
"2019/09/15","23:48","0.202","-","0.343"
"2019/09/15","23:54","0.199","-","0.335"
"2019/09/16","00:00","0.196","-","0.333"
"2019/09/16","00:06","0.193","-","0.328"
"2019/09/16","00:12","0.189","-","0.321"
"2019/09/16","00:18","0.185","-","0.314"
"2019/09/16","00:24","0.18","-","0.31"
"2019/09/16","00:30","0.176","-","0.306"
"2019/09/16","00:36","0.171","-","0.297"
"2019/09/16","00:42","0.166","-","0.293"
"2019/09/16","00:48","0.161","-","0.284"
"2019/09/16","00:54","0.155","-","0.28"
"2019/09/16","01:00","0.15","-","0.275"
"2019/09/16","01:06","0.144","-","0.266"
"2019/09/16","01:12","0.138","-","0.261"
"2019/09/16","01:18","0.132","-","0.254"
"2019/09/16","01:24","0.126","-","0.25"
"2019/09/16","01:30","0.12","-","0.244"
"2019/09/16","01:36","0.114","-","0.237"
"2019/09/16","01:42","0.108","-","0.232"
"2019/09/16","01:48","0.102","-","0.228"
"2019/09/16","01:54","0.096","-","0.222"
"2019/09/16","02:00","0.089","-","0.215"
"2019/09/16","02:06","0.083","-","0.209"
"2019/09/16","02:12","0.077","-","0.202"
"2019/09/16","02:18","0.07","-","0.193"
"2019/09/16","02:24","0.064","-","0.184"
"2019/09/16","02:30","0.057","-","0.176"
"2019/09/16","02:36","0.051","-","0.171"
"2019/09/16","02:42","0.045","-","0.165"
"2019/09/16","02:48","0.039","-","0.159"
"2019/09/16","02:54","0.032","-","0.15"
"2019/09/16","03:00","0.026","-","0.144"
"2019/09/16","03:06","0.02","-","0.139"
"2019/09/16","03:12","0.014","-","0.135"
"2019/09/16","03:18","0.008","-","0.128"
"2019/09/16","03:24","0.002","-","0.12"
"2019/09/16","03:30","-0.003","-","0.113"
